domainname,nr_src
switch.ch,811676
comlaude.ch,577584
infomaniak.ch,506551
noris.ch,484726
nine.ch,471125
bluewin.ch,447816
google.ch,439556
honcode.ch,393844
hostpoint.ch,378495
tophost.ch,356004
cern.ch,337390
nic.ch,326643
hcuge.ch,321784
swisscom.ch,292201
sunrise.ch,289919
hoststar.ch,279117
vtx.ch,269399
zer0day.ch,262165
cyon.ch,247957
datasource.ch,245207
arenabg.ch,242319
agrinet.ch,238422
porsche.ch,237403
itu.ch,235775
switchplus.ch,224671
fcom.ch,224160
protonmail.ch,222815
kreativmedia.ch,218745
admin.ch,217156
ethz.ch,211305
wemfbox.ch,205343
open.ch,202442
webland.ch,178855
tripadvisor.ch,176265
hon.ch,173843
blick.ch,171968
ebay.ch,169313
airbnb.ch,166549
cyberlink.ch,164991
migros.ch,158697
20min.ch,158094
wservices.ch,157107
nzz.ch,156495
immer-da.ch,154612
digitale-gesellschaft.ch,153433
dimago.ch,149365
solnet.ch,149337
finarea.ch,148187
srf.ch,146951
cablecom.ch,146546
yelp.ch,145584
hispeed.ch,145554
glipac.ch,143956
threema.ch,140812
netplus.ch,140789
epfl.ch,137317
hostfactory.ch,136876
post.ch,135075
imp.ch,133494
genotec.ch,133171
surveymonkey.ch,133054
hosttech.ch,132666
exigo.ch,131723
uzh.ch,128533
gmx.ch,128240
mhs.ch,127885
interway.ch,127521
datazug.ch,123838
expedia.ch,121432
unige.ch,118924
rts.ch,118588
srgssr.ch,117544
xvo.ch,116694
wn-dns.ch,116447
tamedia.ch,114661
innet.ch,114116
gotdns.ch,113942
nubium.ch,113459
nts.ch,112060
netstream.ch,111843
mscgva.ch,110988
publicompserver.ch,109969
tagesanzeiger.ch,109524
sylon.ch,109321
xmodels-live.ch,109165
sbb.ch,107868
proinity.ch,107588
blogspot.ch,107285
rsi.ch,105846
unibe.ch,105337
dfinet.ch,103314
groupon.ch,103271
posteo-dns.ch,102064
coop.ch,101469
swissinfo.ch,100898
search.ch,100530
unibas.ch,100409
iway.ch,100027
snowflakehosting.ch,99853
rsnweb.ch,99738
webstyle.ch,99565
newsnetz.ch,98716
adfinis-sygroup.ch,98164
datapark.ch,97970
ellb.ch,97723
ewdns.ch,97364
swisslink.ch,96829
ticketcorner.ch,95619
datacomm.ch,95519
kaywa.ch,95451
ringier.ch,93868
lematin.ch,93463
netzone.ch,92603
shinternet.ch,91737
virtua.ch,90685
ricardo.ch,90360
kayak.ch,90358
admeira.ch,89114
uci.ch,88005
citycable.ch,87643
netrics.ch,87007
swissns.ch,86279
variti.ch,85376
fastnet.ch,85089
unil.ch,85046
virtualtec.ch,84825
5ms.ch,84569
ezimg.ch,84352
indeed.ch,84111
kuoni.ch,83578
ziknet.ch,83358
weblink.ch,82929
local.ch,82394
gettyimages.ch,82384
evok.ch,81800
vistaprint.ch,81767
qlns.ch,81624
homegate.ch,81582
xmedia.ch,81159
psideo.ch,80991
nth.ch,80871
ortcloud.ch,80653
ggaweb.ch,80482
trendhosting-net.ch,80450
datacenter-migros.ch,79684
yetnet.ch,79570
kfsb.ch,79543
tutti.ch,79505
adquality.ch,78311
swisstxt.ch,78130
meteonews.ch,77890
metanet.ch,77269
nextron.ch,76637
backslash.ch,76059
host.ch,75920
hostorama.ch,75622
wingo.ch,75083
cryptowat.ch,75076
zalando.ch,74659
pcdog.ch,74553
adtracker.ch,74332
tdg.ch,74330
scsstatic.ch,74272
nexlink.ch,73922
goeast.ch,73579
syhosting.ch,73207
domrobot.ch,72982
softronics.ch,72599
tsinger.ch,72051
postfinance.ch,71458
astro.ch,71286
000.ch,71121
unifr.ch,70749
ti-edu.ch,70657
