domainname,nr_src
switch.ch,906567
comlaude.ch,688423
infomaniak.ch,600469
noris.ch,554961
nine.ch,548746
google.ch,482833
bluewin.ch,474375
honcode.ch,436253
hostpoint.ch,414317
cern.ch,403741
tophost.ch,390059
nic.ch,365531
swisscom.ch,352336
sunrise.ch,334484
hoststar.ch,304438
zer0day.ch,286543
cyon.ch,284113
hcuge.ch,281741
arenabg.ch,273722
itu.ch,273705
vtx.ch,267325
protonmail.ch,262082
kreativmedia.ch,256087
admin.ch,249469
pinterest.ch,245918
fcom.ch,244974
switchplus.ch,244036
ethz.ch,241721
agrinet.ch,241419
porsche.ch,229583
open.ch,228874
wemfbox.ch,218101
airbnb.ch,198366
ebay.ch,195965
tripadvisor.ch,195565
hostfactory.ch,193714
hispeed.ch,192976
webland.ch,190875
glipac.ch,185553
solnet.ch,183366
migros.ch,177301
nzz.ch,173439
blick.ch,172962
cyberlink.ch,172605
yelp.ch,171273
wservices.ch,169677
20min.ch,165730
datasource.ch,164835
uzh.ch,161839
epfl.ch,160987
netplus.ch,158579
finarea.ch,155704
imp.ch,155643
dimago.ch,155522
post.ch,154148
hosttech.ch,150772
exigo.ch,150585
netstream.ch,149248
genotec.ch,148308
interway.ch,145554
mhs.ch,144667
unige.ch,144141
datazug.ch,143803
gmx.ch,140053
immer-da.ch,139189
hon.ch,136838
innet.ch,136442
srf.ch,135729
threema.ch,135103
dfinet.ch,133366
srgssr.ch,132834
adslplus.ch,130609
wn-dns.ch,129963
proinity.ch,129326
groupon.ch,129198
blogspot.ch,128935
expedia.ch,128478
nubium.ch,127772
mscgva.ch,126933
publicompserver.ch,126206
unibe.ch,124447
nts.ch,122851
tamedia.ch,122648
coop.ch,119849
iway.ch,119772
sbb.ch,119561
kissasian.ch,118486
xvo.ch,118124
posteo-dns.ch,117980
swissinfo.ch,117616
cablecom.ch,116451
ticketcorner.ch,115324
swisslink.ch,115251
gotdns.ch,113114
unibas.ch,112883
webstyle.ch,112871
virtua.ch,112445
rts.ch,112062
snowflakehosting.ch,111843
swissns.ch,111378
unil.ch,110927
databaar.ch,110869
netrics.ch,110234
newsnetz.ch,108288
ewdns.ch,108014
ringier.ch,107948
netzone.ch,107747
xmodels-live.ch,107560
sylon.ch,107537
tagesanzeiger.ch,106965
search.ch,105455
da-services.ch,105441
ellb.ch,104304
ggaweb.ch,103621
adfinis-sygroup.ch,102917
kaywa.ch,102538
kayak.ch,102218
admeira.ch,102061
virtualtec.ch,101517
datacomm.ch,101281
gettyimages.ch,100757
fastnet.ch,100600
shinternet.ch,99153
citycable.ch,99040
trendhosting-net.ch,97606
evok.ch,97392
flashcable.ch,97047
indeed.ch,96662
ezimg.ch,96202
ricardo.ch,95937
solarcom.ch,95226
qlns.ch,94674
pcdog.ch,94208
web-agentur.ch,93149
backslash.ch,92756
psideo.ch,92380
host.ch,92248
5ms.ch,91954
weblink.ch,91895
metanet.ch,91523
xmedia.ch,91190
geberit.ch,90925
domrobot.ch,90783
nexlink.ch,90249
tutti.ch,90091
datapark.ch,90055
ortcloud.ch,89021
datacenter-migros.ch,88873
goeast.ch,88675
cryptowat.ch,88630
surveymonkey.ch,88421
hostorama.ch,88377
nextron.ch,87939
adquality.ch,87607
unifr.ch,87099
leunet.ch,86972
nth.ch,86919
be.ch,86639
softronics.ch,85549
unisg.ch,85548
local.ch,84850
swisstxt.ch,83999
homegate.ch,83902
zalando.ch,83803
tsinger.ch,83730
torrentdownload.ch,83646
dns-zonen.ch,83592
net4all.ch,83445
senselan.ch,83430
postfinance.ch,82423
rsnweb.ch,81828
wohlbier.ch,81494
000.ch,81414
tcnet.ch,81394
zhaw.ch,80695
swisslife.ch,80672
wingo.ch,80670
deplanet.ch,80614
lematin.ch,80478
letemps.ch,80245
swisslos.ch,80172
fhnw.ch,80031
ti-edu.ch,79844
worldcom.ch,79593
cleanmail.ch,79245
rhone.ch,79157
iec.ch,79122
syhosting.ch,78069
astro.ch,78046
abuse.ch,77734
vd.ch,77395
jeuxjeuxjeux.ch,77307
scsstatic.ch,77276
fourmilab.ch,77149
scibile.ch,76269
imd.ch,75553
comparis.ch,75532
orangemail.ch,75121
tdg.ch,74937
sceur.ch,74880
u-blox.ch,74790
agenceweb.ch,74374
momondo.ch,74283
unog.ch,74180
20min-tv.ch,74036
