domainname,nr_src
switch.ch,876360
comlaude.ch,657917
infomaniak.ch,564355
noris.ch,533358
nine.ch,520298
bluewin.ch,471260
honcode.ch,437353
google.ch,436155
hostpoint.ch,409757
tophost.ch,383617
cern.ch,363120
nic.ch,361024
hcuge.ch,353980
sunrise.ch,339663
vtx.ch,326050
swisscom.ch,308552
hoststar.ch,303880
fcom.ch,289821
zer0day.ch,285931
cyon.ch,270126
agrinet.ch,267229
arenabg.ch,266762
itu.ch,259659
datasource.ch,253665
admin.ch,249937
porsche.ch,249707
switchplus.ch,247578
kreativmedia.ch,246660
ethz.ch,243092
protonmail.ch,242543
wemfbox.ch,219095
open.ch,215997
webland.ch,201813
airbnb.ch,195661
hon.ch,195519
tripadvisor.ch,187104
ebay.ch,184578
blick.ch,182972
hispeed.ch,181851
migros.ch,180530
nzz.ch,176699
20min.ch,175592
glipac.ch,172615
wservices.ch,170253
pinterest.ch,169721
immer-da.ch,168316
solnet.ch,165453
cyberlink.ch,165389
dimago.ch,165077
hostfactory.ch,163516
netplus.ch,162935
yelp.ch,162911
digitale-gesellschaft.ch,162085
finarea.ch,158503
genotec.ch,158487
epfl.ch,157677
post.ch,155797
imp.ch,155486
threema.ch,152107
uzh.ch,149500
mhs.ch,147340
exigo.ch,147176
hosttech.ch,145560
interway.ch,143647
srf.ch,143642
gmx.ch,140163
datazug.ch,138591
unige.ch,136589
netstream.ch,135347
srgssr.ch,135116
adslplus.ch,130376
innet.ch,130367
nts.ch,129856
wn-dns.ch,129340
expedia.ch,128708
blogspot.ch,128706
hoteltroiscouronnes.ch,128432
xmodels-live.ch,128284
mscgva.ch,128084
publicompserver.ch,127476
nubium.ch,127440
datapark.ch,126463
tagesanzeiger.ch,125417
tamedia.ch,124555
surveymonkey.ch,122834
unibe.ch,122682
xvo.ch,122495
gotdns.ch,121647
dfinet.ch,121257
sbb.ch,118982
unibas.ch,116313
swisslink.ch,115461
coop.ch,115316
ewdns.ch,114434
iway.ch,114363
shinternet.ch,114254
search.ch,113988
webstyle.ch,113479
posteo-dns.ch,112853
proinity.ch,112487
swissinfo.ch,112330
snowflakehosting.ch,112306
sylon.ch,111997
virtua.ch,109665
groupon.ch,107925
newsnetz.ch,107391
netzone.ch,106733
rts.ch,106731
ellb.ch,106711
adfinis-sygroup.ch,106134
kaywa.ch,104961
datacomm.ch,104881
ringier.ch,103459
kuoni.ch,102881
netrics.ch,102634
admeira.ch,101913
unil.ch,101499
variti.ch,101405
ricardo.ch,101244
fastnet.ch,99086
qlns.ch,98742
citycable.ch,98363
virtualtec.ch,98261
ticketcorner.ch,97877
swissns.ch,97612
datacenter-migros.ch,95966
5ms.ch,94400
indeed.ch,94017
ezimg.ch,93862
psideo.ch,93659
trendhosting-net.ch,93272
kayak.ch,92834
rsnweb.ch,92287
gettyimages.ch,91931
evok.ch,90773
pcdog.ch,90485
nth.ch,90443
ggaweb.ch,90054
adquality.ch,90050
wingo.ch,89513
kfsb.ch,89430
cryptowat.ch,89386
metanet.ch,89330
domrobot.ch,89268
backslash.ch,89207
ortcloud.ch,89025
vistaprint.ch,88885
unisg.ch,88861
nexlink.ch,88570
xmedia.ch,88345
softronics.ch,87514
hostorama.ch,87202
host.ch,86960
kissasian.ch,86649
be.ch,86507
nextron.ch,86011
da-services.ch,85961
goeast.ch,85530
unifr.ch,85257
zalando.ch,84547
local.ch,84479
databaar.ch,84293
weblink.ch,84242
worldcom.ch,83891
homegate.ch,83840
syhosting.ch,83748
uci.ch,83738
ziknet.ch,83638
rhone.ch,83318
fhnw.ch,83137
swisstxt.ch,83013
ti-edu.ch,82903
meteonews.ch,82836
postfinance.ch,82551
flashcable.ch,82465
dns-zonen.ch,82076
leunet.ch,82021
digitec.ch,81362
tutti.ch,81032
solarcom.ch,80735
tcnet.ch,80576
astro.ch,80194
scsstatic.ch,80056
net2000.ch,79950
tsinger.ch,79914
geberit.ch,79838
yetnet.ch,79540
swisslife.ch,79434
torrentdownload.ch,78931
000.ch,78597
iec.ch,78400
vd.ch,78229
mail-ch.ch,78175
letemps.ch,78158
senselan.ch,77877
036.ch,77045
lematin.ch,76089
project-free-tv.ch,75941
imd.ch,75639
zhaw.ch,75415
square7.ch,75093
cleanmail.ch,74954
deep.ch,74888
eds.ch,74882
20min-tv.ch,74837
suedostschweiz.ch,74808
unine.ch,74768
abuse.ch,74660
fourmilab.ch,74634
hosting-ch.ch,74613
wohlbier.ch,74601
nameserver.ch,74028
sceur.ch,73747
tdg.ch,73713
24heures.ch,73548
jeuxjeuxjeux.ch,72804
hotmail.ch,72684
glattnet.ch,72613
rsi.ch,72118
mtfcloud.ch,71990
streamboatserver.ch,71366
u-blox.ch,71245
arcade.ch,70907
pnow.ch,70872
watson.ch,70862
bfh.ch,70508
web-agentur.ch,70460
unog.ch,70399
cablecom.ch,70027
firestorm.ch,69715
ebu.ch,69347
agenceweb.ch,69323
ricardostatic.ch,69264
gbucket.ch,69147
bluemail.ch,68999
dsl-net.ch,68958
glassdoor.ch,68786
usz.ch,68676
glei.ch,68634
ebmnet.ch,68222
comparis.ch,67981
begasoft.ch,67912
hitparade.ch,67812
scalera.ch,67810
xelon.ch,67448
i-web.ch,67230
fr.ch,67164
swissonline.ch,67031
servertown.ch,66933
oetiker.ch,66896
tio.ch,66781
scibile.ch,66604
ne.ch,66566
trit.ch,66499
wef.ch,66243
avectris.ch,66120
spielyeti.ch,66092
canoo.ch,65887
autoscout24.ch,65634
hslu.ch,65519
zsz.ch,65297
momondo.ch,65297
sinkhole.ch,65236
internetgalerie.ch,65155
swisslos.ch,65126
datenpark.ch,65063
sysco.ch,64940
ipcc.ch,64832
deckpoint.ch,64800
neotrend.ch,64737
helvetia.ch,64554
orangemail.ch,64551
tcrn.ch,64331
digitecgalaxus.ch,64316
4server.ch,64179
bernerzeitung.ch,64166
immoscout24.ch,63807
net4all.ch,63650
nnv.ch,63619
lsne.ch,63481
oriented.ch,63212
jonasschnelli.ch,63089
ganesh-hosting.ch,62980
derbund.ch,62829
messebasel.ch,62693
inic.ch,62442
raq.ch,62367
vtxmail.ch,62315
chuv.ch,62167
tui.ch,61916
netoxygen.ch,61581
toysrus.ch,61382
ctek.ch,61084
internetone.ch,61070
witweb.ch,60981
ips.ch,60911
enidan.ch,60885
freesurf.ch,60774
serverbase.ch,60748
ntd.ch,60600
serverdns.ch,60591
webcreatif.ch,60573
network-corner.ch,60410
xprofiler.ch,60308
komodo.ch,60164
ge.ch,60078
finanzen.ch,60019
etat-ge.ch,59713
psi.ch,59590
oca.ch,59517
dns-net.ch,59509
aladin21.ch,59393
ehl.ch,59190
domaintraffic.ch,59087
bs.ch,58870
raiffeisen.ch,58867
uploadable.ch,58837
hiho.ch,58814
aladin.ch,58789
evard.ch,58524
exovoid.ch,58513
dell.ch,58307
tissot.ch,58292
bazonline.ch,58194
nexanet.ch,58162
centinated.ch,57673
flow.ch,57497
ag.ch,57311
cybernetwork.ch,57065
anibis.ch,57013
ahja.ch,56990
danzz.ch,56877
solidit.ch,56765
hostmax.ch,56632
eyeonx.ch,56546
ztonline.ch,56468
gia.ch,56436
moneyhouse.ch,56285
zh.ch,56277
qos.ch,56186
iso.ch,56170
isb-sib.ch,56100
jobs.ch,56089
vidics.ch,55840
onlime.ch,55527
ebookers.ch,55439
slynet.ch,55374
zic-network.ch,55102
laredoute.ch,55001
audatex.ch,54988
infofactory.ch,54937
apgsga.ch,54918
1ahosting.ch,54883
hsr.ch,54841
alixon.ch,54800
masterhomepage.ch,54756
tbwil.ch,54661
eunet.ch,54485
localsearch.ch,54167
sg.ch,54144
insystem.ch,54120
static-nzz.ch,53977
insign.ch,53950
xn--allestrungen-9ib.ch,53938
fuw.ch,53779
jobup.ch,53734
webways.ch,53733
srg-ssr.ch,53638
hebag-ag.ch,53618
cpstatic.ch,53596
college.ch,53439
zhdk.ch,53374
netmind.ch,53286
ticinohosting.ch,53283
lombardodier.ch,53084
spreadshirt.ch,52882
dreamstore.ch,52697
conrad.ch,52695
schweizer-illustrierte.ch,52677
usi.ch,52624
vsnet.ch,52208
friday-magazine.ch,52105
unity-web.ch,52086
mironet.ch,52047
pxlpartner.ch,51964
unepchemicals.ch,51844
heig-vd.ch,51811
emp-eaw.ch,51785
handelszeitung.ch,51764
spreitzer.ch,51680
exoscale.ch,51339
meteocentrale.ch,51293
zkb.ch,51236
hung.ch,51186
mailprofiler.ch,51153
frey-net.ch,51097
ngit.ch,51022
luzernerzeitung.ch,50912
cembra.ch,50871
bilan.ch,50844
shell.ch,50795
soft-plus.ch,50751
intername.ch,50696
guests.ch,50686
salt.ch,50686
pcp.ch,50676
zoink.ch,50649
sarasin.ch,50583
glaro.ch,50558
tg.ch,50502
madeleine-mode.ch,50464
educanet2.ch,50447
trenka.ch,50387
snd1.ch,50350
azmedien.ch,50301
lyoness.ch,50260
penta.ch,50205
dasmagazin.ch,50160
orange.ch,50057
energy.ch,49990
allposters.ch,49872
netcetera.ch,49779
stadt-zuerich.ch,49643
pwc.ch,49574
getplaykids.ch,49536
lu.ch,49438
inx.ch,49400
prezenz.ch,49399
competec.ch,49377
laureate.ch,49281
insel.ch,49171
ubp.ch,49134
swissquote.ch,49101
switchplus-mail.ch,49070
femina.ch,49032
hostedsolution.ch,49028
nscluster.ch,48983
swisslog.ch,48980
emilfrey.ch,48933
stnet.ch,48847
xn--ae-tja.ch,48725
manor.ch,48645
adtracker.ch,48627
alstom.ch,48560
