domainname,nr_src
switch.ch,895835
comlaude.ch,663311
infomaniak.ch,590858
noris.ch,557607
nine.ch,485831
bluewin.ch,457808
honcode.ch,430883
hostpoint.ch,429393
google.ch,428639
cern.ch,394394
tophost.ch,389934
nic.ch,363405
sunrise.ch,326107
hoststar.ch,312095
zer0day.ch,300144
cyon.ch,296621
arenabg.ch,274768
itu.ch,272541
swisscom.ch,266171
kreativmedia.ch,263105
protonmail.ch,260368
hcuge.ch,259620
vtx.ch,253457
pinterest.ch,252479
switchplus.ch,243720
nzz.ch,241456
ethz.ch,237775
agrinet.ch,237262
admin.ch,232381
open.ch,226441
porsche.ch,226322
wemfbox.ch,221477
solnet.ch,204956
airbnb.ch,204058
webland.ch,203179
ebay.ch,202222
fcom.ch,202179
hostfactory.ch,193447
glipac.ch,190392
hispeed.ch,190290
tripadvisor.ch,188645
wservices.ch,177454
migros.ch,176158
datasource.ch,173074
blick.ch,168739
yelp.ch,166671
netplus.ch,165447
finarea.ch,163649
uzh.ch,163228
cyberlink.ch,162100
hosttech.ch,160882
dimago.ch,160526
epfl.ch,159907
exigo.ch,158971
imp.ch,158059
post.ch,157781
genotec.ch,154925
20min.ch,154647
interway.ch,150925
unige.ch,150404
mhs.ch,146705
gmx.ch,143419
netstream.ch,143399
netzone.ch,141352
dfinet.ch,140581
datazug.ch,136730
blogspot.ch,135997
threema.ch,135345
wn-dns.ch,133838
innet.ch,133246
groupon.ch,132831
publicompserver.ch,132830
mscgva.ch,132733
srgssr.ch,130727
netrics.ch,130707
adslplus.ch,128279
iway.ch,127886
unibe.ch,126621
srf.ch,125769
gotdns.ch,124528
coop.ch,122937
expedia.ch,122687
swissinfo.ch,122519
tamedia.ch,122471
unibas.ch,122174
proinity.ch,121910
posteo-dns.ch,121879
swissns.ch,121418
nts.ch,120215
nubium.ch,120205
snowflakehosting.ch,120020
surveymonkey.ch,118624
swisslink.ch,118450
unil.ch,118126
ringier.ch,117423
datacomm.ch,117111
sbb.ch,116353
tagesanzeiger.ch,116050
ticketcorner.ch,115982
hon.ch,115835
xvo.ch,113866
kissasian.ch,113839
newsnetz.ch,112792
xmodels-live.ch,112184
da-services.ch,109534
backslash.ch,108618
webstyle.ch,108174
citycable.ch,107380
search.ch,107098
rts.ch,105967
virtua.ch,105776
ellb.ch,105148
gettyimages.ch,104124
fastnet.ch,103578
admeira.ch,102620
evok.ch,102091
ewdns.ch,102015
databaar.ch,99857
virtualtec.ch,99572
adfinis-sygroup.ch,99325
cryptowat.ch,99128
trendhosting-net.ch,99065
metanet.ch,98651
zhdk.ch,98324
weblink.ch,97931
cablecom.ch,97814
xmedia.ch,97545
hostorama.ch,97142
domrobot.ch,96797
pcdog.ch,96549
host.ch,96290
ezimg.ch,95481
abuse.ch,95013
ricardo.ch,94935
qlns.ch,94771
movie4u.ch,94348
psideo.ch,93301
sylon.ch,93251
web-agentur.ch,92159
shinternet.ch,92080
goeast.ch,91902
5ms.ch,91712
rhone.ch,91604
unifr.ch,91564
ortcloud.ch,91499
nexlink.ch,91324
tutti.ch,91220
adquality.ch,90963
kayak.ch,90597
geberit.ch,90364
nth.ch,90061
nextron.ch,90035
letemps.ch,89092
zalando.ch,88790
datapark.ch,88513
flashcable.ch,88493
datacenter-migros.ch,88392
local.ch,88006
be.ch,87803
unisg.ch,87188
indeed.ch,86906
swisstxt.ch,86740
lsne.ch,86372
homegate.ch,86039
kaywa.ch,86010
iec.ch,85623
softronics.ch,85367
wohlbier.ch,85326
tcnet.ch,84867
ggaweb.ch,84820
tsinger.ch,84386
worldcom.ch,84310
dns-zonen.ch,83478
ti-edu.ch,83099
fhnw.ch,82759
freesurf.ch,82732
net4all.ch,82536
vd.ch,81872
cleanmail.ch,81743
tdg.ch,81350
solarcom.ch,81036
zhaw.ch,80907
suedostschweiz.ch,80844
senselan.ch,80789
000.ch,80717
wingo.ch,80679
net2000.ch,80636
mail-ch.ch,80593
comparis.ch,80220
swisslife.ch,79719
servertown.ch,79502
u-blox.ch,79429
syhosting.ch,79278
leunet.ch,78646
begasoft.ch,78588
vtxmail.ch,78498
link.ch,78460
rsnweb.ch,78452
scsstatic.ch,78225
lematin.ch,78089
jonasschnelli.ch,77901
hosting-ch.ch,77835
036.ch,77724
agenceweb.ch,77456
astro.ch,77079
postfinance.ch,76957
swisslos.ch,76260
imd.ch,76221
netoxygen.ch,76064
firestorm.ch,76025
arcade.ch,76002
scibile.ch,75753
square7.ch,75596
24heures.ch,75478
messebasel.ch,75327
sceur.ch,74724
meteonews.ch,74556
neotrend.ch,74546
fourmilab.ch,74516
xelon.ch,74301
unog.ch,74205
jeuxjeuxjeux.ch,73997
ganesh-hosting.ch,73813
hitparade.ch,73686
deckpoint.ch,73241
20min-tv.ch,73031
digitecgalaxus.ch,72860
digitec.ch,72424
nameserver.ch,72133
glattnet.ch,71952
gbucket.ch,71925
unine.ch,71892
ips.ch,71750
mtfcloud.ch,71714
bluemail.ch,71695
sysco.ch,71594
swissonline.ch,71048
nnv.ch,71045
eds.ch,70974
watson.ch,70936
xprofiler.ch,70636
scalera.ch,70371
swissirc.ch,70303
tio.ch,70080
uci.ch,69901
torrentdownload.ch,69900
autoscout24.ch,69838
ipcc.ch,69730
i-web.ch,69624
hiho.ch,69616
bazonline.ch,69210
ctek.ch,69186
trit.ch,69035
internetgalerie.ch,68924
usz.ch,68654
fr.ch,68538
aladin21.ch,68280
ge.ch,68164
serverdns.ch,68151
oetiker.ch,68112
glassdoor.ch,67973
hotmail.ch,67951
bfh.ch,67918
ricardostatic.ch,67878
deep.ch,67802
ebmnet.ch,67729
zsz.ch,67468
bernerzeitung.ch,67465
conrad.ch,67430
datenpark.ch,67348
rsi.ch,67184
hslu.ch,67112
raq.ch,67030
avectris.ch,66992
ahja.ch,66871
enidan.ch,66267
aladin.ch,66249
ntd.ch,66091
ebu.ch,66062
oriented.ch,65912
kfsb.ch,65740
derbund.ch,65511
raiffeisen.ch,65420
ehl.ch,65194
domaintraffic.ch,65119
ne.ch,65117
evard.ch,65052
laureate.ch,64922
spielyeti.ch,64690
eyeonx.ch,64421
educanet2.ch,64136
momondo.ch,64075
internetone.ch,64069
wef.ch,63987
tcrn.ch,63657
anibis.ch,63446
finanzen.ch,63426
laredoute.ch,63349
alixon.ch,63332
