domainname,nr_src
switch.ch,767579
comlaude.ch,598507
infomaniak.ch,546033
noris.ch,533032
google.ch,519383
nine.ch,453821
bluewin.ch,435383
cern.ch,425735
honcode.ch,414766
hostpoint.ch,414550
nic.ch,367552
tophost.ch,326083
pinterest.ch,315152
protonmail.ch,295391
sunrise.ch,289898
hoststar.ch,289767
nzz.ch,288025
cyon.ch,283305
arenabg.ch,271373
zer0day.ch,251052
hosttech.ch,250480
swisscom.ch,250292
admin.ch,247035
ebay.ch,242974
hcuge.ch,242910
airbnb.ch,238728
kreativmedia.ch,238412
switchplus.ch,234890
unige.ch,233071
tripadvisor.ch,232072
wemfbox.ch,230356
ethz.ch,228437
vtx.ch,228016
agrinet.ch,227585
porsche.ch,221157
itu.ch,215033
open.ch,204485
genotec.ch,202437
yelp.ch,198354
datasource.ch,196675
finarea.ch,196015
cyberlink.ch,189561
glipac.ch,187097
webland.ch,183410
blick.ch,181535
migros.ch,181321
fcom.ch,177368
hispeed.ch,171325
wservices.ch,169233
epfl.ch,165546
netzone.ch,155841
post.ch,155257
dimago.ch,154346
20min.ch,154001
exigo.ch,153290
uzh.ch,152074
expedia.ch,149892
hostfactory.ch,149410
netplus.ch,147899
imp.ch,140858
virtua.ch,139800
interway.ch,138506
dfinet.ch,138140
threema.ch,137930
tagesanzeiger.ch,137885
gmx.ch,136787
srgssr.ch,136779
blogspot.ch,134304
mhs.ch,131047
unibe.ch,129736
solnet.ch,129412
wn-dns.ch,129185
indeed.ch,128540
proinity.ch,128370
cnnmoney.ch,127878
srf.ch,127317
publicompserver.ch,126950
mscgva.ch,124775
innet.ch,124273
swissinfo.ch,124033
swissns.ch,123603
datazug.ch,122963
da-services.ch,122544
nts.ch,122449
unibas.ch,122067
tamedia.ch,121854
posteo-dns.ch,121179
adfinis-sygroup.ch,119943
datawire.ch,119333
ringier.ch,119048
kayak.ch,118039
nubium.ch,117823
coop.ch,117646
iway.ch,117248
sbb.ch,117229
newsnetz.ch,116089
kissasian.ch,113481
swisslink.ch,112265
netstream.ch,110008
webstyle.ch,109358
xvo.ch,108875
search.ch,107697
hon.ch,106554
unil.ch,106083
groupon.ch,105627
zalando.ch,105339
xmodels-live.ch,105153
abuse.ch,105033
ticketcorner.ch,104897
snowflakehosting.ch,104459
admeira.ch,103836
rts.ch,100749
cryptowat.ch,100570
nth.ch,100080
evok.ch,99746
adquality.ch,98119
syhosting.ch,97763
backslash.ch,97412
ezimg.ch,96869
tutti.ch,96184
local.ch,96053
pcdog.ch,94928
ricardo.ch,94909
netrics.ch,94422
trendhosting-net.ch,93881
metanet.ch,93823
host.ch,93679
citycable.ch,93521
nexlink.ch,93250
xmedia.ch,93088
swisstxt.ch,92239
unisg.ch,91823
ewdns.ch,91572
qlns.ch,90897
swisslos.ch,90872
glassdoor.ch,90870
u-blox.ch,90322
virtualtec.ch,90195
wingo.ch,90106
shinternet.ch,89833
goeast.ch,89482
homegate.ch,89391
datacomm.ch,89266
iec.ch,89250
fastnet.ch,89230
datacenter-migros.ch,89226
weblink.ch,88850
hostorama.ch,88356
flashcable.ch,88149
nachdenken.ch,88046
unifr.ch,87891
ellb.ch,87723
datapark.ch,87580
letemps.ch,87423
5ms.ch,87129
tsinger.ch,85381
moonb.ch,84848
sinkhole.ch,84618
dns-zonen.ch,84588
geberit.ch,84058
nextron.ch,83323
jeuxjeuxjeux.ch,82845
ti-edu.ch,82054
movie4u.ch,81762
fhnw.ch,81750
usi.ch,81421
postfinance.ch,81396
rhone.ch,81060
uci.ch,80923
000.ch,79905
hosting-ch.ch,79765
republik.ch,79568
leunet.ch,79514
tcnet.ch,79248
vd.ch,78726
autoscout24.ch,78639
begasoft.ch,78539
servertown.ch,78080
zhaw.ch,78036
agenceweb.ch,77691
lematin.ch,77405
arcade.ch,77256
036.ch,77170
watson.ch,77100
spreitzer.ch,76873
unog.ch,76125
comparis.ch,75654
wohlbier.ch,75562
fasthosting.ch,75480
hitparade.ch,75284
suedostschweiz.ch,75216
square7.ch,75123
be.ch,74901
tdg.ch,74746
momondo.ch,74722
worldcom.ch,74710
sceur.ch,74707
fourmilab.ch,74661
20min-tv.ch,74207
torrentdownload.ch,74176
oetiker.ch,74139
rsnweb.ch,74094
softronics.ch,73898
gbucket.ch,73847
astro.ch,73771
meteonews.ch,73760
i-web.ch,73639
digitec.ch,73397
digitecgalaxus.ch,73345
adslplus.ch,73271
spielyeti.ch,72764
kesako.ch,72714
tio.ch,72651
imd.ch,72220
fooby.ch,71798
senselan.ch,71697
firestorm.ch,71622
danzz.ch,71585
24heures.ch,71373
gotdns.ch,71315
scsstatic.ch,69877
unine.ch,69847
ipcc.ch,69817
icinternet.ch,69127
bfh.ch,68809
ricardostatic.ch,68766
swisslife.ch,68633
ge.ch,68286
hslu.ch,67846
upc.ch,67705
datenpark.ch,67604
anibis.ch,67489
streamboatserver.ch,67464
wef.ch,67422
ebu.ch,67064
raiffeisen.ch,66760
mtfcloud.ch,66594
flow.ch,66062
glattnet.ch,66028
nameserver.ch,65850
hiho.ch,65814
xelon.ch,65780
immoscout24.ch,65750
ips.ch,65689
ne.ch,65662
xprofiler.ch,65638
oriented.ch,65490
college.ch,65380
link.ch,65369
scalera.ch,65089
salt.ch,64900
scibile.ch,64845
rsi.ch,64827
avectris.ch,64754
jonasschnelli.ch,64673
sysco.ch,64615
serverbase.ch,64436
surveymonkey.ch,64274
bazonline.ch,63803
deep.ch,63197
ehl.ch,63147
chuv.ch,63052
internetgalerie.ch,63030
mailprofiler.ch,62835
eyeonx.ch,62833
snd1.ch,62794
zsz.ch,62699
xn--allestrungen-9ib.ch,62583
hostmax.ch,62543
hellofresh.ch,62516
kfsb.ch,62513
neotrend.ch,62433
raq.ch,62291
static-nzz.ch,62051
tcrn.ch,61568
psideo.ch,61506
etat-ge.ch,61457
isb-sib.ch,61431
cleanmail.ch,61301
jobs.ch,61230
luzernerzeitung.ch,61148
cablecom.ch,60895
ebookers.ch,60844
centinated.ch,60811
ganesh-hosting.ch,60803
nnv.ch,60433
net2000.ch,60236
coopathome.ch,60142
mail-ch.ch,60081
solarcom.ch,60047
tagblatt.ch,59725
netoxygen.ch,59643
serverdns.ch,59604
lsne.ch,59330
usz.ch,59316
fr.ch,59299
zoink.ch,59210
ggaweb.ch,58866
domaintraffic.ch,58808
ahja.ch,58754
onlime.ch,58691
faelix.ch,58520
databaar.ch,58343
exoscale.ch,58338
spreadshirt.ch,58289
ticinohosting.ch,58195
srg-ssr.ch,58144
ruf.ch,58084
bernerzeitung.ch,57800
oca.ch,57736
derbund.ch,57721
bs.ch,57685
slynet.ch,57680
ntd.ch,57642
moneyhouse.ch,57623
ebmnet.ch,57422
inic.ch,57261
zh.ch,57054
gia.ch,57002
komodo.ch,56632
friday-magazine.ch,56498
swisslog.ch,56473
pnow.ch,56408
lafourchette.ch,56378
web-agentur.ch,56324
nscluster.ch,56272
hostsolutions.ch,56186
fuw.ch,56100
deckpoint.ch,55940
trit.ch,55881
byteworks.ch,55701
bilan.ch,55690
audatex.ch,55560
bluemail.ch,55491
zhdk.ch,55273
psi.ch,55272
messebasel.ch,55267
webways.ch,55165
zic-network.ch,55092
aladin21.ch,54969
swissonline.ch,54870
qos.ch,54793
uploadable.ch,54771
enidan.ch,54737
solidit.ch,54533
ag.ch,54473
sixt.ch,54372
lombardodier.ch,54318
netcetera.ch,54217
femina.ch,54203
masterhomepage.ch,54181
getback.ch,54164
galaxus.ch,54160
exovoid.ch,54119
netmind.ch,54066
evard.ch,53948
webcreatif.ch,53706
witweb.ch,53702
ztonline.ch,53576
smallte.ch,53454
finanzen.ch,53395
iso.ch,53359
alpinedc.ch,53355
cybernetwork.ch,53235
zkb.ch,53205
unisi.ch,53203
azmedien.ch,53115
cpstatic.ch,53064
inx.ch,52908
thelocal.ch,52781
getplaykids.ch,52681
rolotec.ch,52630
nexanet.ch,52549
hotmail.ch,52465
ville-ge.ch,52434
variti.ch,52386
emilfrey.ch,52369
edreams.ch,52319
jobup.ch,52242
manor.ch,52236
hung.ch,52235
aladin.ch,51966
swissquote.ch,51867
dns-net.ch,51733
educanet2.ch,51404
pxlpartner.ch,51247
boomte.ch,51146
infofactory.ch,51038
schweizer-illustrierte.ch,51008
xiag.ch,50893
ti.ch,50844
energy.ch,50797
citrin.ch,50757
curaden-hosting.ch,50646
insign.ch,50570
hsr.ch,50313
register.ch,50239
vtxmail.ch,50228
tg.ch,50138
network-corner.ch,50095
pimpernet.ch,50094
