domainname,nr_src
switch.ch,840894
finarea.ch,598597
comlaude.ch,571988
google.ch,538513
noris.ch,519769
infomaniak.ch,506505
bluewin.ch,427765
cern.ch,412666
honcode.ch,408719
hostpoint.ch,407964
nine.ch,395568
nic.ch,376720
vtx.ch,338643
tophost.ch,333652
protonmail.ch,313942
cyon.ch,289748
pinterest.ch,288956
sunrise.ch,284660
hoststar.ch,276822
ebay.ch,259071
swisscom.ch,256029
nzz.ch,254207
arenabg.ch,249963
zer0day.ch,244591
agrinet.ch,237171
kreativmedia.ch,235225
admin.ch,231561
hcuge.ch,231507
airbnb.ch,231360
itu.ch,224115
wemfbox.ch,223364
ethz.ch,222018
hosttech.ch,217786
porsche.ch,211242
tripadvisor.ch,210702
open.ch,199685
switchplus.ch,192795
fcom.ch,183260
yelp.ch,182019
blick.ch,179401
webland.ch,178935
wservices.ch,174861
migros.ch,173926
glipac.ch,170665
srgssr.ch,167756
cyberlink.ch,165515
e-fon.ch,164815
netplus.ch,160531
uzh.ch,159684
post.ch,153823
netzone.ch,148908
epfl.ch,148804
hispeed.ch,148676
dimago.ch,148137
datasource.ch,147758
expedia.ch,147124
20min.ch,146319
exigo.ch,145335
genotec.ch,144622
threema.ch,143216
hostfactory.ch,141292
datazug.ch,141034
imp.ch,138782
gmx.ch,137610
unige.ch,135661
coop.ch,134492
dfinet.ch,134372
cablecom.ch,132563
adfinis-sygroup.ch,131344
nubium.ch,130112
posteo-dns.ch,129535
mscgva.ch,129214
citycable.ch,128505
mhs.ch,128257
wn-dns.ch,128190
nts.ch,126475
solnet.ch,125840
da-services.ch,125664
abuse.ch,125292
newsnetz.ch,123593
interway.ch,123035
srf.ch,122521
hefr.ch,121273
unibe.ch,120742
swissinfo.ch,120741
ringier.ch,120303
swissns.ch,117718
iway.ch,117168
unibas.ch,116705
publicompserver.ch,116028
sbb.ch,115646
virtua.ch,114665
heia-fr.ch,113332
admeira.ch,113270
xmodels-live.ch,112577
innet.ch,111945
tamedia.ch,110041
zalando.ch,109244
tagesanzeiger.ch,108604
kayak.ch,108392
indeed.ch,108097
groupon.ch,107168
kbntx.ch,106879
swisslink.ch,106275
blogspot.ch,105923
netstream.ch,105550
xvo.ch,103254
webstyle.ch,103203
unil.ch,101886
swisstxt.ch,100927
local.ch,100767
rts.ch,98162
hon.ch,97098
syhosting.ch,96986
search.ch,96454
gotdns.ch,95342
wingo.ch,95206
metanet.ch,94554
xmedia.ch,94294
evok.ch,94100
host.ch,93291
shinternet.ch,93236
ezimg.ch,92570
homegate.ch,92531
spreitzer.ch,92076
qlns.ch,91553
trendhosting-net.ch,89983
hostorama.ch,89806
goeast.ch,89591
flashcable.ch,89404
pcdog.ch,88526
cryptowat.ch,86838
sinkhole.ch,86404
ewdns.ch,86263
datacenter-migros.ch,86248
nth.ch,85622
virtualtec.ch,85298
iec.ch,85116
tutti.ch,85079
fhnw.ch,85065
netrics.ch,84996
fastnet.ch,84679
unifr.ch,84599
datapark.ch,84083
ricardo.ch,83904
swisslos.ch,83836
agenceweb.ch,83546
036.ch,83268
backslash.ch,83160
dsl-net.ch,82944
unisg.ch,82934
glassdoor.ch,82660
vd.ch,82316
tsinger.ch,82062
digitecgalaxus.ch,81796
comparis.ch,81567
ellb.ch,81287
servertown.ch,81100
dns-zonen.ch,80971
5ms.ch,80878
datacomm.ch,80210
hosting-ch.ch,79981
be.ch,79674
nexlink.ch,79288
postfinance.ch,79115
autoscout24.ch,79108
adslplus.ch,79042
watson.ch,78963
getback.ch,78764
sceur.ch,78647
hitparade.ch,78449
rhone.ch,78260
rsnweb.ch,77754
weblink.ch,77547
000.ch,77416
nextron.ch,77246
begasoft.ch,77213
suedostschweiz.ch,77132
firestorm.ch,76598
leunet.ch,76262
20min-tv.ch,76094
square7.ch,75853
wohlbier.ch,75766
digitec.ch,75698
i-web.ch,75598
snowflakehosting.ch,75458
geberit.ch,75440
zhaw.ch,75150
fooby.ch,74966
serverbase.ch,74635
tcnet.ch,74617
ticketcorner.ch,73356
gbucket.ch,73071
ti-edu.ch,72926
torrentdownload.ch,72533
letemps.ch,72347
senselan.ch,72107
winklercom.ch,70805
adquality.ch,70771
glattnet.ch,70755
worldcom.ch,70477
arcade.ch,70369
hiho.ch,70353
wef.ch,70247
astro.ch,70230
unog.ch,70122
softronics.ch,69888
ipcc.ch,69551
salt.ch,69416
upc.ch,69001
ebu.ch,68468
newasiantv.ch,68251
ge.ch,68186
danzz.ch,68005
