domainname,nr_src
switch.ch,715539
comlaude.ch,639623
noris.ch,549832
infomaniak.ch,549148
google.ch,537028
hostpoint.ch,437944
honcode.ch,420208
bluewin.ch,417540
nine.ch,415757
cern.ch,391433
nic.ch,365291
tophost.ch,341554
pinterest.ch,316242
hoststar.ch,297879
cyon.ch,294873
protonmail.ch,291633
arenabg.ch,282573
sunrise.ch,279409
zer0day.ch,277652
hispeed.ch,259823
nzz.ch,255615
ebay.ch,254847
admin.ch,254400
kreativmedia.ch,249638
hcuge.ch,248332
hosttech.ch,246373
airbnb.ch,241470
switchplus.ch,240649
vtx.ch,237186
ethz.ch,232903
wemfbox.ch,232640
tripadvisor.ch,228460
swisscom.ch,226991
agrinet.ch,224793
porsche.ch,223559
itu.ch,217006
open.ch,209016
yelp.ch,202771
webland.ch,193151
fcom.ch,190361
migros.ch,186873
blick.ch,181004
glipac.ch,179126
finarea.ch,175155
wservices.ch,169055
exigo.ch,164630
netzone.ch,161483
cyberlink.ch,160519
epfl.ch,159875
dimago.ch,159328
uzh.ch,157284
datasource.ch,157038
post.ch,154945
hostfactory.ch,154705
20min.ch,154452
netplus.ch,153616
expedia.ch,148387
unige.ch,146125
genotec.ch,144780
imp.ch,144623
interway.ch,144449
srgssr.ch,142225
dfinet.ch,138049
threema.ch,137588
gmx.ch,136967
blogspot.ch,136903
mhs.ch,135052
wn-dns.ch,134479
proinity.ch,133990
solnet.ch,133749
publicompserver.ch,131030
mscgva.ch,130761
swissinfo.ch,129135
innet.ch,128900
unibe.ch,128658
cnnmoney.ch,126364
da-services.ch,125937
srf.ch,125644
tamedia.ch,124788
nts.ch,124345
nubium.ch,124137
datazug.ch,123976
swissns.ch,123897
posteo-dns.ch,123778
coop.ch,121806
unibas.ch,121679
iway.ch,120774
tagesanzeiger.ch,120193
swisslink.ch,119544
newsnetz.ch,119043
indeed.ch,118807
snowflakehosting.ch,117241
netstream.ch,117213
ringier.ch,117013
ticketcorner.ch,115011
kissasian.ch,114669
adfinis-sygroup.ch,114212
webstyle.ch,114059
sbb.ch,113502
kayak.ch,113412
backslash.ch,112381
hon.ch,110539
xvo.ch,110091
xmodels-live.ch,109306
virtua.ch,109260
search.ch,107448
admeira.ch,105343
unil.ch,105021
rts.ch,104658
evok.ch,104554
groupon.ch,104071
zalando.ch,101587
