domainname,nr_src
switch.ch,794847
comlaude.ch,639192
infomaniak.ch,602516
noris.ch,563567
google.ch,504914
bluewin.ch,457296
nine.ch,444002
sunrise.ch,439930
hostpoint.ch,432249
honcode.ch,428243
tophost.ch,386323
nic.ch,375407
cern.ch,369988
hoststar.ch,325124
cyon.ch,302547
zer0day.ch,285559
arenabg.ch,282988
nzz.ch,282950
protonmail.ch,280883
adslplus.ch,274472
pinterest.ch,268567
kreativmedia.ch,266829
swisscom.ch,262039
hcuge.ch,256412
switchplus.ch,253673
admin.ch,246285
ethz.ch,243613
vtx.ch,242614
agrinet.ch,234521
wemfbox.ch,231813
ebay.ch,229672
airbnb.ch,223873
itu.ch,222830
porsche.ch,221505
fcom.ch,214694
webland.ch,212841
open.ch,212600
tripadvisor.ch,212001
hostfactory.ch,201491
migros.ch,191283
finarea.ch,187932
blick.ch,187363
yelp.ch,186222
hosttech.ch,183248
glipac.ch,177886
datasource.ch,175943
solnet.ch,174746
wservices.ch,174717
hispeed.ch,172915
uzh.ch,168239
exigo.ch,166719
dimago.ch,166584
netplus.ch,165324
epfl.ch,163341
netzone.ch,163196
20min.ch,163100
post.ch,160417
cyberlink.ch,156575
genotec.ch,154932
interway.ch,154452
imp.ch,154226
mhs.ch,149139
unige.ch,147927
srgssr.ch,147887
gmx.ch,145299
dfinet.ch,145158
netstream.ch,144248
blogspot.ch,141432
expedia.ch,139339
publicompserver.ch,139238
datazug.ch,136655
threema.ch,135273
innet.ch,134713
wn-dns.ch,134293
iway.ch,133030
mscgva.ch,132492
srf.ch,130079
proinity.ch,129999
unibe.ch,129193
posteo-dns.ch,128265
tamedia.ch,127926
nts.ch,127784
nubium.ch,127007
coop.ch,126667
swissns.ch,126348
cryptowat.ch,125841
swissinfo.ch,125544
newsnetz.ch,124694
swisslink.ch,124311
unibas.ch,123623
da-services.ch,123446
ringier.ch,122602
backslash.ch,122416
sbb.ch,122140
snowflakehosting.ch,121929
kissasian.ch,118657
evok.ch,118035
tagesanzeiger.ch,117106
webstyle.ch,116700
xmodels-live.ch,115670
dns-net.ch,114738
ticketcorner.ch,114213
ellb.ch,113945
kayak.ch,112843
rts.ch,112695
hon.ch,112681
search.ch,111738
indeed.ch,110857
xvo.ch,110487
datacomm.ch,110101
admeira.ch,109502
unil.ch,109152
cablecom.ch,108710
adfinis-sygroup.ch,106456
host.ch,106296
citycable.ch,105766
netrics.ch,105526
ewdns.ch,105514
fastnet.ch,105086
virtua.ch,103335
virtualtec.ch,103093
pcdog.ch,102200
ricardo.ch,102140
xmedia.ch,100986
movie4u.ch,100976
trendhosting-net.ch,99830
hostorama.ch,99450
metanet.ch,99254
qlns.ch,99058
weblink.ch,98140
zalando.ch,97829
tutti.ch,97683
web-agentur.ch,97516
shinternet.ch,97511
goeast.ch,96387
datacenter-migros.ch,96031
nth.ch,95652
psideo.ch,94980
abuse.ch,94465
swisstxt.ch,94306
ezimg.ch,94295
nexlink.ch,94269
5ms.ch,94105
flashcable.ch,93966
local.ch,93803
unisg.ch,92687
rhone.ch,92565
adquality.ch,92504
homegate.ch,92503
be.ch,92471
datapark.ch,92458
tcnet.ch,91342
nextron.ch,91067
u-blox.ch,90842
groupon.ch,90788
domrobot.ch,90457
ti-edu.ch,90211
gotdns.ch,90190
unifr.ch,90151
letemps.ch,90021
suedostschweiz.ch,87891
vd.ch,86960
thevideo.ch,86503
sinkhole.ch,86369
wingo.ch,86270
servertown.ch,86196
tsinger.ch,86174
jonasschnelli.ch,86160
lematin.ch,86076
begasoft.ch,85963
iec.ch,85950
syhosting.ch,85935
wohlbier.ch,85808
dns-zonen.ch,85619
swisslos.ch,85262
fhnw.ch,85189
tdg.ch,85106
worldcom.ch,84979
hosting-ch.ch,84692
xelon.ch,84624
zhaw.ch,84541
imd.ch,84301
agenceweb.ch,83812
senselan.ch,83707
softronics.ch,83370
momondo.ch,83078
20min-tv.ch,83040
036.ch,82326
uci.ch,82271
messebasel.ch,81983
ebu.ch,81877
hitparade.ch,81614
lsne.ch,81095
swisslife.ch,80782
000.ch,80772
glassdoor.ch,80695
postfinance.ch,80684
net4all.ch,80549
jeuxjeuxjeux.ch,80118
arcade.ch,80096
moonb.ch,80027
tio.ch,79373
digitecgalaxus.ch,79361
geberit.ch,79312
neotrend.ch,79080
rsnweb.ch,78989
gbucket.ch,78971
24heures.ch,78685
solarcom.ch,78467
comparis.ch,78302
i-web.ch,78224
astro.ch,77934
square7.ch,77933
scsstatic.ch,77409
meteonews.ch,77303
autoscout24.ch,77057
conrad.ch,76942
leunet.ch,76786
digitec.ch,76704
cleanmail.ch,76675
9anime.ch,76528
firestorm.ch,76278
wef.ch,76268
fourmilab.ch,75884
swissirc.ch,75741
ge.ch,75689
unog.ch,75669
mtfcloud.ch,75615
ips.ch,75267
bernerzeitung.ch,75096
trit.ch,75060
freesurf.ch,75010
sysco.ch,74855
sceur.ch,74814
ne.ch,74238
ganesh-hosting.ch,74233
nameserver.ch,73935
nnv.ch,73903
unine.ch,73773
internetgalerie.ch,73657
mail-ch.ch,73373
watson.ch,73230
deckpoint.ch,73075
scibile.ch,73026
usz.ch,72901
serverdns.ch,72821
datenpark.ch,72686
glattnet.ch,72485
flow.ch,72249
scalera.ch,72197
bs.ch,71759
oriented.ch,71556
oetiker.ch,71348
domaintraffic.ch,71204
bfh.ch,71177
ricardostatic.ch,71094
deep.ch,71060
raq.ch,71050
hslu.ch,70861
spielyeti.ch,70723
ahja.ch,70524
fr.ch,70514
hiho.ch,70090
