domainname,nr_asn
ne.ch,10456.0
sefanet.ch,10438.0
bluemail.ch,10416.0
distrelec.ch,10391.0
freesurf.ch,10353.0
dns24.ch,10317.0
prolitteris.ch,10308.0
spielyeti.ch,10249.0
edreams.ch,10242.0
xprofiler.ch,10183.0
inic.ch,10149.0
wef.ch,10114.0
nscluster.ch,10113.0
domaintraffic.ch,10073.0
hotmail.ch,10063.0
raq.ch,10062.0
jeuxjeuxjeux.ch,10049.0
ip-plus.ch,9985.0
alpinedc.ch,9969.0
deckpoint.ch,9967.0
xelon.ch,9962.0
ricardostatic.ch,9949.0
serverdns.ch,9909.0
20min-tv.ch,9906.0
lafourchette.ch,9894.0
letemps.ch,9893.0
evard.ch,9845.0
sixt.ch,9824.0
centinated.ch,9791.0
hostmax.ch,9780.0
slynet.ch,9772.0
smallte.ch,9763.0
net2000.ch,9742.0
aladin21.ch,9733.0
danzz.ch,9713.0
usi.ch,9699.0
netmind.ch,9698.0
fr.ch,9679.0
i-web.ch,9617.0
ogekao.ch,9616.0
deep.ch,9604.0
ntd.ch,9603.0
anibis.ch,9595.0
datenpark.ch,9579.0
getyourguide.ch,9572.0
jonasschnelli.ch,9568.0
thelocal.ch,9560.0
psi.ch,9558.0
ebmnet.ch,9527.0
static-nzz.ch,9527.0
sysco.ch,9519.0
vtxmail.ch,9487.0
zh.ch,9474.0
lombardodier.ch,9467.0
hefr.ch,9459.0
bazonline.ch,9455.0
scibile.ch,9438.0
jabraheadsets.ch,9435.0
flow.ch,9420.0
cybernetwork.ch,9418.0
netoxygen.ch,9396.0
vsnet.ch,9395.0
tissot.ch,9389.0
aladin.ch,9344.0
netcetera.ch,9341.0
raiffeisen.ch,9336.0
digitec.ch,9280.0
ville-ge.ch,9272.0
all-your-top1000-are-belong-to-us.ch,9249.0
switchplus-mail.ch,9240.0
hesge.ch,9208.0
internetone.ch,9174.0
westwing.ch,9164.0
ag.ch,9149.0
isb-sib.ch,9098.0
mpdkim2.ch,9078.0
lematin.ch,9037.0
cs2.ch,9036.0
liteweb.ch,8983.0
swisslos.ch,8978.0
internetgalerie.ch,8960.0
educanet2.ch,8909.0
curaden-hosting.ch,8908.0
fooby.ch,8889.0
zkb.ch,8867.0
hsr.ch,8866.0
tui.ch,8865.0
vritec.ch,8859.0
interactivebrokers.ch,8851.0
neotrend.ch,8846.0
bcv.ch,8804.0
idiap.ch,8778.0
swissquote.ch,8751.0
newday.ch,8738.0
mailprofiler.ch,8733.0
funnygames.ch,8726.0
chrono24.ch,8721.0
pimpernet.ch,8718.0
hostedsolution.ch,8689.0
eunet.ch,8686.0
radiosonline.ch,8685.0
supercard.ch,8664.0
sfs-network.ch,8657.0
nameserver.ch,8619.0
scsstatic.ch,8593.0
streamboatserver.ch,8589.0
eyeonx.ch,8586.0
stzh.ch,8584.0
businessclick.ch,8569.0
ehl.ch,8567.0
uci.ch,8562.0
your-web.ch,8553.0
moneyhouse.ch,8550.0
tdg.ch,8548.0
ulrichard.ch,8548.0
24heures.ch,8508.0
onlime.ch,8507.0
trenka.ch,8491.0
hellofresh.ch,8490.0
oca.ch,8482.0
englishforum.ch,8441.0
ebookers.ch,8427.0
xiag.ch,8402.0
wsl.ch,8378.0
zoink.ch,8369.0
jobs.ch,8302.0
zsz.ch,8291.0
webways.ch,8288.0
immoscout24.ch,8282.0
bauundhobby.ch,8278.0
web-agentur.ch,8261.0
dvbern.ch,8257.0
orange.ch,8250.0
basler.ch,8243.0
glei.ch,8238.0
nexanet.ch,8234.0
register.ch,8225.0
unmetered.ch,8214.0
hirslanden.ch,8212.0
ch.ch,8209.0
bs.ch,8177.0
smte.ch,8174.0
enuvo.ch,8168.0
finanzen.ch,8143.0
luzernerzeitung.ch,8131.0
ibllc.ch,8128.0
insel.ch,8128.0
square7.ch,8114.0
idmobile.ch,8108.0
masterhomepage.ch,8105.0
webne.ch,8092.0
widewalls.ch,8088.0
psideo.ch,8079.0
credit-conseil.ch,8067.0
hevs.ch,8067.0
zermatt.ch,8063.0
uploadable.ch,8030.0
emilfrey.ch,8022.0
orcwebhosting.ch,8008.0
prezenz.ch,8001.0
witweb.ch,7989.0
zhdk.ch,7968.0
stepping-stone.ch,7961.0
ubp.ch,7951.0
tcrn.ch,7938.0
net4all.ch,7934.0
cinergy.ch,7914.0
zic-network.ch,7897.0
stadt-zuerich.ch,7889.0
ymc.ch,7872.0
viseca.ch,7852.0
cpstatic.ch,7832.0
amenic.ch,7826.0
altea-services.ch,7826.0
watchfreemovies.ch,7825.0
musta.ch,7802.0
tcs.ch,7788.0
credit-direct.ch,7784.0
tg.ch,7772.0
citrin.ch,7770.0
graduateinstitute.ch,7767.0
inx.ch,7759.0
intername.ch,7754.0
schweizer-illustrierte.ch,7704.0
aare-rz.ch,7696.0
kissasian.ch,7688.0
elby.ch,7676.0
ngit.ch,7675.0
he-arc.ch,7659.0
azmedien.ch,7652.0
finews.ch,7632.0
swisslog.ch,7624.0
axa.ch,7617.0
tamilrockerss.ch,7605.0
mironet.ch,7593.0
opodo.ch,7592.0
metas.ch,7586.0
fsit.ch,7585.0
dsl-net.ch,7585.0
ahja.ch,7573.0
so.ch,7534.0
newsbox.ch,7531.0
safemail.ch,7531.0
migrosmedien.ch,7517.0
securewebservices.ch,7516.0
livenet.ch,7505.0
netspan.ch,7499.0
tio.ch,7484.0
heig-vd.ch,7475.0
hung.ch,7469.0
penta.ch,7459.0
myhostpoint.ch,7436.0
messaging.ch,7405.0
csti.ch,7395.0
radioswissjazz.ch,7388.0
unepchemicals.ch,7384.0
syhost.ch,7371.0
lenouvelliste.ch,7330.0
752.ch,7321.0
rsi.ch,7312.0
radioswissclassic.ch,7307.0
ctek.ch,7299.0
kesako.ch,7284.0
newasiantv.ch,7278.0
pipeline.ch,7276.0
sarasin.ch,7266.0
loginserver.ch,7263.0
apgsga.ch,7254.0
tchibo.ch,7249.0
alto.ch,7240.0
ssatr.ch,7223.0
escapenet.ch,7219.0
telezueri.ch,7198.0
1ahosting.ch,7194.0
ztonline.ch,7193.0
ss5.ch,7184.0
sogea.ch,7183.0
ti.ch,7180.0
glaro.ch,7179.0
cash.ch,7170.0
slf.ch,7151.0
lausanne.ch,7138.0
wa-research.ch,7136.0
webcreatif.ch,7114.0
oris.ch,7089.0
toppreise.ch,7085.0
everyware.ch,7084.0
kuoni.ch,7084.0
securedns.ch,7081.0
netstyle.ch,7074.0
2edaadmin.ch,7073.0
sg.ch,7070.0
bluemouse.ch,7065.0
cembra.ch,7061.0
alixon.ch,7051.0
