domainname,nr_src
switch.ch,822760
comlaude.ch,602532
finarea.ch,597583
infomaniak.ch,545816
noris.ch,528767
google.ch,526244
bluewin.ch,500527
hostpoint.ch,432398
honcode.ch,417246
cern.ch,405100
nic.ch,391458
nine.ch,389153
sunrise.ch,355144
swisscom.ch,337888
hoststar.ch,323763
protonmail.ch,321092
tophost.ch,318759
cyon.ch,318417
pinterest.ch,305853
vtx.ch,294947
nzz.ch,289020
arenabg.ch,251826
zer0day.ch,242990
agrinet.ch,240968
kreativmedia.ch,239413
admin.ch,235625
ethz.ch,233215
wemfbox.ch,230861
airbnb.ch,228512
ebay.ch,225280
hcuge.ch,222151
hosttech.ch,220847
porsche.ch,220307
tripadvisor.ch,211676
itu.ch,205070
open.ch,199142
e-fon.ch,184466
fcom.ch,183624
migros.ch,183125
webland.ch,182633
srgssr.ch,182278
yelp.ch,179051
blick.ch,173536
adslplus.ch,173519
glipac.ch,170124
switchplus.ch,166806
netplus.ch,164362
coop.ch,161816
post.ch,161108
epfl.ch,158364
exigo.ch,157407
hispeed.ch,157318
wservices.ch,155847
cablecom.ch,154309
uzh.ch,153437
dimago.ch,151289
datasource.ch,149105
netzone.ch,148780
hostfactory.ch,148749
cyberlink.ch,148448
threema.ch,147736
20min.ch,146703
expedia.ch,146045
swissns.ch,144953
unige.ch,144511
imp.ch,142073
abuse.ch,139375
dfinet.ch,137410
gmx.ch,136941
genotec.ch,136434
posteo-dns.ch,134508
ringier.ch,133940
interway.ch,133712
wn-dns.ch,132969
nubium.ch,132837
mhs.ch,131347
adfinis-sygroup.ch,130100
mscgva.ch,129050
solnet.ch,129011
unibe.ch,127306
newsnetz.ch,125899
da-services.ch,124828
srf.ch,124274
nts.ch,123773
swissinfo.ch,123232
kbntx.ch,121657
iway.ch,121153
unibas.ch,118764
sbb.ch,118102
publicompserver.ch,116475
ellb.ch,115907
indeed.ch,114333
virtua.ch,113834
kayak.ch,113688
admeira.ch,113314
datazug.ch,113162
blogspot.ch,110500
innet.ch,109705
netstream.ch,108390
swisslink.ch,107831
unil.ch,107731
webstyle.ch,107419
flashcable.ch,107092
zalando.ch,107010
tagesanzeiger.ch,106846
036.ch,105030
xmodels-live.ch,104782
swisstxt.ch,104168
local.ch,103882
dns-net.ch,103619
xvo.ch,100072
backslash.ch,99880
gotdns.ch,99313
ezimg.ch,98900
xmedia.ch,98507
rts.ch,98243
tamedia.ch,98068
evok.ch,97017
search.ch,96632
hosting-ch.ch,96449
metanet.ch,96398
host.ch,95824
