domainname,nr_src
switch.ch,780354
comlaude.ch,617925
infomaniak.ch,571269
google.ch,567504
noris.ch,541541
hostpoint.ch,430240
bluewin.ch,429522
honcode.ch,423794
cern.ch,421200
nine.ch,404515
nic.ch,382735
pinterest.ch,332870
tophost.ch,332431
finarea.ch,325079
protonmail.ch,312136
hoststar.ch,297399
cyon.ch,295573
sunrise.ch,290803
nzz.ch,279795
hosttech.ch,274614
arenabg.ch,273114
ethz.ch,263530
admin.ch,258653
airbnb.ch,255050
ebay.ch,250903
zer0day.ch,249345
swisscom.ch,246804
switchplus.ch,246158
kreativmedia.ch,244245
hcuge.ch,243752
tripadvisor.ch,241146
wemfbox.ch,237024
vtx.ch,231627
porsche.ch,221291
agrinet.ch,218618
socialwebmedia.ch,216700
itu.ch,216062
yelp.ch,212839
uzh.ch,210034
hispeed.ch,209679
open.ch,206877
webland.ch,187226
migros.ch,186849
blick.ch,185089
solnet.ch,184899
glipac.ch,184263
fcom.ch,181111
wservices.ch,174655
cyberlink.ch,166851
netplus.ch,166528
senselan.ch,162501
epfl.ch,162015
datasource.ch,161831
exigo.ch,160407
post.ch,160063
dimago.ch,159404
20min.ch,157337
expedia.ch,156013
netzone.ch,155922
hostfactory.ch,150916
unige.ch,147261
dfinet.ch,144926
imp.ch,144710
threema.ch,144705
interway.ch,144099
genotec.ch,142575
srgssr.ch,140672
swissns.ch,140460
wn-dns.ch,135233
blogspot.ch,134581
mscgva.ch,134145
gmx.ch,132988
cnnmoney.ch,132962
mhs.ch,131398
unibe.ch,130847
adfinis-sygroup.ch,130239
srf.ch,128473
datazug.ch,128445
publicompserver.ch,128279
indeed.ch,127376
nts.ch,126719
tamedia.ch,125901
da-services.ch,125647
posteo-dns.ch,125424
iway.ch,125419
swissinfo.ch,124890
newsnetz.ch,124149
unibas.ch,123949
tagesanzeiger.ch,123400
ringier.ch,122605
nubium.ch,121820
innet.ch,121754
sbb.ch,121613
coop.ch,121001
kayak.ch,120383
proinity.ch,116362
kissasian.ch,115346
netstream.ch,114207
search.ch,113959
swisslink.ch,113836
webstyle.ch,112835
rsnweb.ch,112204
abuse.ch,112033
