domainname,nr_src
switch.ch,801800
finarea.ch,596523
comlaude.ch,594826
google.ch,549331
infomaniak.ch,547021
noris.ch,543581
bluewin.ch,466535
honcode.ch,438135
hostpoint.ch,425369
cern.ch,423041
nine.ch,393313
nic.ch,388539
vtx.ch,339351
tophost.ch,334222
protonmail.ch,320246
pinterest.ch,316110
cyon.ch,310977
swisscom.ch,304154
sunrise.ch,294118
hoststar.ch,290246
nzz.ch,280527
arenabg.ch,258144
zer0day.ch,249462
ebay.ch,247875
kreativmedia.ch,244022
admin.ch,241533
itu.ch,235640
wemfbox.ch,235255
ethz.ch,233591
airbnb.ch,233112
hcuge.ch,231341
agrinet.ch,223749
porsche.ch,221850
tripadvisor.ch,214595
hosttech.ch,212000
open.ch,210408
fcom.ch,189372
webland.ch,187947
blick.ch,187331
migros.ch,184002
yelp.ch,183248
glipac.ch,179069
e-fon.ch,175025
srgssr.ch,173129
switchplus.ch,171863
netplus.ch,166092
post.ch,161406
netzone.ch,159941
wservices.ch,159658
uzh.ch,158454
datasource.ch,157337
mhs.ch,156699
epfl.ch,156078
hostfactory.ch,155805
dimago.ch,155510
expedia.ch,155475
exigo.ch,152523
coop.ch,152212
cyberlink.ch,152030
20min.ch,149918
hispeed.ch,149628
threema.ch,148538
unige.ch,146397
adfinis-sygroup.ch,145594
imp.ch,144671
genotec.ch,143223
dfinet.ch,142288
interway.ch,140939
gmx.ch,140216
swissns.ch,140030
nubium.ch,137444
abuse.ch,134311
posteo-dns.ch,133577
wn-dns.ch,133203
mscgva.ch,133033
solnet.ch,130742
iway.ch,130457
ringier.ch,130421
da-services.ch,129715
srf.ch,129319
newsnetz.ch,128736
unibe.ch,128042
cablecom.ch,124396
swissinfo.ch,124393
indeed.ch,123179
nts.ch,123147
sbb.ch,120093
publicompserver.ch,119858
ipcc.ch,118792
datazug.ch,118391
admeira.ch,118247
unibas.ch,117373
innet.ch,116491
ellb.ch,113566
kbntx.ch,113383
blogspot.ch,113234
kayak.ch,111817
webstyle.ch,111306
zalando.ch,110592
citycable.ch,110580
xmodels-live.ch,110291
netstream.ch,109935
swisslink.ch,109812
groupon.ch,108905
tagesanzeiger.ch,108819
virtua.ch,108751
swisstxt.ch,105529
unil.ch,104790
local.ch,104402
syhosting.ch,104135
rts.ch,103095
xvo.ch,102646
xmedia.ch,102623
ezimg.ch,102551
tamedia.ch,102364
host.ch,101945
evok.ch,101044
gotdns.ch,100784
search.ch,99259
flashcable.ch,99101
hon.ch,97549
hostorama.ch,97113
metanet.ch,96438
trendhosting-net.ch,96201
goeast.ch,95639
virtualtec.ch,95430
homegate.ch,95321
ewdns.ch,94546
backslash.ch,94323
qlns.ch,94229
netrics.ch,92800
pcdog.ch,92063
iec.ch,92032
tutti.ch,91504
spreitzer.ch,91341
swisslos.ch,91175
cryptowat.ch,91045
servertown.ch,90945
leunet.ch,90755
sinkhole.ch,90413
datacenter-migros.ch,90401
036.ch,90370
unifr.ch,90096
fastnet.ch,90044
adslplus.ch,89806
serverbase.ch,89732
glassdoor.ch,89189
dns-zonen.ch,88925
nth.ch,88846
hosting-ch.ch,88815
fhnw.ch,88584
unisg.ch,88431
shinternet.ch,88420
tsinger.ch,86546
digitecgalaxus.ch,86546
vd.ch,85717
nexlink.ch,85460
autoscout24.ch,85420
ricardo.ch,85017
rhone.ch,84477
agenceweb.ch,84368
postfinance.ch,84349
datapark.ch,84314
arcade.ch,84178
5ms.ch,83878
getback.ch,83808
nextron.ch,83521
wingo.ch,83433
datacomm.ch,83373
dns-net.ch,83296
comparis.ch,83039
geberit.ch,82879
watson.ch,82153
000.ch,82036
wohlbier.ch,81888
begasoft.ch,81442
weblink.ch,80956
zhaw.ch,80408
suedostschweiz.ch,80264
sceur.ch,79926
20min-tv.ch,79602
hitparade.ch,79394
be.ch,79085
tcnet.ch,78882
gbucket.ch,78652
letemps.ch,78449
fooby.ch,78410
digitec.ch,77984
ti-edu.ch,77554
rsnweb.ch,77241
softronics.ch,77132
astro.ch,77007
firestorm.ch,76876
upc.ch,76678
torrentdownload.ch,76673
square7.ch,75610
mtfcloud.ch,75484
opsdns.ch,75313
unog.ch,75186
newasiantv.ch,75038
ticketcorner.ch,74751
wef.ch,73832
hiho.ch,73420
danzz.ch,73368
senselan.ch,73067
i-web.ch,72853
worldcom.ch,72793
faelix.ch,72594
adquality.ch,72552
hslu.ch,72281
anibis.ch,72208
exoscale.ch,71990
static-nzz.ch,71548
salt.ch,71436
ge.ch,71256
datenpark.ch,71224
imd.ch,71093
ne.ch,70920
snowflakehosting.ch,70654
oriented.ch,70591
unine.ch,69875
raiffeisen.ch,69667
swisslife.ch,69326
neotrend.ch,69054
scalera.ch,68715
swissirc.ch,68649
streamboatserver.ch,68563
icinternet.ch,68276
kfsb.ch,68275
snd1.ch,68197
bfh.ch,67781
xprofiler.ch,67594
sysco.ch,67512
ips.ch,67282
raq.ch,67208
immoscout24.ch,66833
xelon.ch,66695
oetiker.ch,66369
swisspay.ch,66219
scibile.ch,66135
momondo.ch,66076
ebu.ch,66003
flow.ch,65875
meteonews.ch,65660
lematin.ch,65539
etat-ge.ch,65375
tdg.ch,65205
centinated.ch,64936
evensi.ch,64832
glattnet.ch,64808
ganesh-hosting.ch,64802
avectris.ch,64647
ricardostatic.ch,64215
cleanmail.ch,64024
mailprofiler.ch,63984
spreadshirt.ch,63788
srg-ssr.ch,63774
aladin21.ch,63447
internetgalerie.ch,63403
mail-ch.ch,63178
inic.ch,62965
hostmax.ch,62957
lsne.ch,62930
coopathome.ch,62583
netoxygen.ch,62538
oca.ch,62527
nameserver.ch,62481
komodo.ch,62467
adconsole.ch,62442
deep.ch,62127
hellofresh.ch,62021
fourmilab.ch,61694
usz.ch,61607
ehl.ch,61587
netmind.ch,61520
audatex.ch,61493
eyeonx.ch,61416
deckpoint.ch,60988
serverdns.ch,60988
aladin.ch,60736
movie4u.ch,60645
ahja.ch,60627
onlime.ch,60532
chuv.ch,60391
trit.ch,60390
domaintraffic.ch,60284
enidan.ch,60202
zsz.ch,60151
cpstatic.ch,60144
netcetera.ch,60126
databaar.ch,60104
nnv.ch,59968
moneyhouse.ch,59802
alpinedc.ch,59509
jonasschnelli.ch,59500
register.ch,59424
web-agentur.ch,59375
axa.ch,58939
jeuxjeuxjeux.ch,58873
bs.ch,58803
bazonline.ch,58731
rsi.ch,58723
spielyeti.ch,58688
zoink.ch,58644
qos.ch,58624
glei.ch,58576
zh.ch,58566
lafourchette.ch,58566
usi.ch,58524
scsstatic.ch,58412
galaxus.ch,58374
ebmnet.ch,58294
ntd.ch,58203
cybernetwork.ch,58159
psi.ch,58006
radiosonline.ch,57982
webways.ch,57752
tio.ch,57716
finanzen.ch,57690
witweb.ch,57606
zhdk.ch,57598
24heures.ch,57565
nscluster.ch,57540
mgw.ch,57329
fr.ch,57251
swissonline.ch,57182
gia.ch,57168
masterhomepage.ch,57155
amenic.ch,56876
solarcom.ch,56779
ggaweb.ch,56675
iso.ch,56655
hung.ch,56589
luzernerzeitung.ch,56446
ebookers.ch,56336
prolitteris.ch,56325
tcrn.ch,56217
isb-sib.ch,56206
evard.ch,55999
college.ch,55858
jobs.ch,55794
byteworks.ch,55762
swissquote.ch,55729
educanet2.ch,55703
zkb.ch,55562
tg.ch,55457
cs2.ch,55208
uci.ch,55204
hsr.ch,55173
kissasian.ch,55110
bluemail.ch,54786
azmedien.ch,54786
dns24.ch,54764
az-cdn.ch,54754
network-corner.ch,54569
swisslog.ch,54551
edreams.ch,54455
adsugar.ch,54426
ag.ch,54412
simplehosting.ch,54360
getplaykids.ch,54265
ztonline.ch,54218
boomte.ch,54144
sg.ch,54011
pimpernet.ch,53976
lombardodier.ch,53962
hotmail.ch,53847
net2000.ch,53846
thelocal.ch,53813
smallte.ch,53807
psideo.ch,53777
slynet.ch,53773
sixt.ch,53520
adspot.ch,53293
emilfrey.ch,53221
curaden-hosting.ch,53118
distrelec.ch,52926
pnow.ch,52539
webkeeper.ch,52457
glaro.ch,52425
sbbmobile.ch,52390
orcwebhosting.ch,52325
1ahosting.ch,52309
brack.ch,52293
ch.ch,52286
syhost.ch,52155
ville-ge.ch,52065
schweizer-illustrierte.ch,51951
messebasel.ch,51879
hirslanden.ch,51872
variti.ch,51655
eunet.ch,51618
intername.ch,51524
viseca.ch,51518
bluemouse.ch,51375
stadt-zuerich.ch,51346
penta.ch,51190
alixon.ch,51171
so.ch,51148
dsl-net.ch,51144
competec.ch,50915
uploadable.ch,50901
manor.ch,50888
dvbern.ch,50880
xiag.ch,50811
mpdkim2.ch,50715
dreamstore.ch,50709
wsl.ch,50641
ctek.ch,50470
ti.ch,50341
tcs.ch,50311
exovoid.ch,50191
apgsga.ch,50112
insel.ch,50062
meteoswiss-app.ch,50008
idiap.ch,49906
livenet.ch,49781
conrad.ch,49776
localsearch.ch,49648
heig-vd.ch,49627
pctipp.ch,49601
inx.ch,49571
netstyle.ch,49564
kesako.ch,49553
trenka.ch,49525
liteweb.ch,49519
zic-network.ch,49250
bcv.ch,49225
ymc.ch,49190
pwc.ch,49176
host-n2o.ch,49069
stepping-stone.ch,48901
webcreatif.ch,48900
vtxmail.ch,48826
netspan.ch,48805
gr.ch,48573
cash.ch,48539
freesurf.ch,48401
graduateinstitute.ch,48387
yop.ch,48378
guests.ch,48326
nexanet.ch,48137
prezenz.ch,48099
finews.ch,48095
help.ch,48010
maillink.ch,47903
toysrus.ch,47899
derbund.ch,47897
stmb.ch,47815
internetone.ch,47796
hostedsolution.ch,47776
westwing.ch,47486
handelszeitung.ch,47420
fuw.ch,47388
immomigsa.ch,47359
tagblatt.ch,47344
englishforum.ch,47318
bestview.ch,47230
style-magazin.ch,47229
