domainname,nr_src
switch.ch,798778
finarea.ch,620352
comlaude.ch,580264
infomaniak.ch,521020
noris.ch,497096
bluewin.ch,472473
google.ch,458429
hostpoint.ch,413344
cern.ch,408805
nine.ch,391592
hoststar.ch,390299
honcode.ch,388703
nic.ch,372559
kbntx.ch,324079
cyon.ch,322411
protonmail.ch,317318
tophost.ch,310843
swisscom.ch,305986
sunrise.ch,303299
pinterest.ch,289775
nzz.ch,281129
arenabg.ch,255518
zer0day.ch,242533
kreativmedia.ch,229298
vtx.ch,226084
admin.ch,223322
ethz.ch,220429
porsche.ch,220138
open.ch,216479
wemfbox.ch,215816
airbnb.ch,211924
hcuge.ch,210730
tripadvisor.ch,208780
agrinet.ch,207346
ebay.ch,197995
hosttech.ch,196009
itu.ch,194223
fcom.ch,183618
webland.ch,182385
cablecom.ch,179536
migros.ch,176011
srgssr.ch,173177
yelp.ch,171226
netplus.ch,167749
switchplus.ch,163147
e-fon.ch,162981
coop.ch,162499
glipac.ch,159999
post.ch,158882
datasource.ch,152480
hispeed.ch,151998
wservices.ch,151960
epfl.ch,150414
exigo.ch,149316
cyberlink.ch,149183
blick.ch,148016
threema.ch,147191
dimago.ch,146674
hostfactory.ch,145694
uzh.ch,144474
20min.ch,144359
imp.ch,143668
netzone.ch,143403
abuse.ch,142058
posteo-dns.ch,140020
expedia.ch,138535
wn-dns.ch,136956
unige.ch,135752
solnet.ch,132462
swissns.ch,132389
ringier.ch,132337
nubium.ch,132248
dfinet.ch,131202
gmx.ch,131152
interway.ch,131078
genotec.ch,130068
nts.ch,128743
newsnetz.ch,127782
adfinis-sygroup.ch,126822
mscgva.ch,123755
unibe.ch,123476
ellb.ch,120223
da-services.ch,119419
publicompserver.ch,118355
dns-net.ch,117793
iway.ch,117142
srf.ch,116235
mhs.ch,116184
swissinfo.ch,115588
unibas.ch,114102
sbb.ch,113056
indeed.ch,112923
netstream.ch,111287
softronics.ch,110751
datazug.ch,110413
xmodels-live.ch,110137
kayak.ch,109455
adslplus.ch,109323
admeira.ch,107881
local.ch,105870
blogspot.ch,104742
swisslink.ch,104048
innet.ch,103684
flashcable.ch,103593
tagesanzeiger.ch,103258
hosting-ch.ch,102589
search.ch,101746
backslash.ch,101183
036.ch,101089
swisstxt.ch,101074
zalando.ch,101035
ezimg.ch,100636
webstyle.ch,100099
xvo.ch,98793
metanet.ch,98375
unil.ch,98010
xmedia.ch,97976
qlns.ch,96378
wingo.ch,96136
hon.ch,96128
getback.ch,95541
gotdns.ch,95169
rts.ch,94174
tamedia.ch,94073
evok.ch,92786
host.ch,92731
cryptowat.ch,92630
citycable.ch,92220
hostorama.ch,90574
syhosting.ch,90258
shinternet.ch,90101
spreitzer.ch,89893
groupon.ch,88541
pcdog.ch,88495
ricardo.ch,88085
ewdns.ch,87458
datacenter-migros.ch,87409
datapark.ch,87254
digitecgalaxus.ch,87171
goeast.ch,86278
netrics.ch,85889
unisg.ch,85516
virtualtec.ch,85483
postfinance.ch,85420
fastnet.ch,85220
ipcc.ch,85014
homegate.ch,84818
unifr.ch,84185
virtua.ch,84031
sinkhole.ch,83421
nth.ch,83076
5ms.ch,82935
weblink.ch,81778
servertown.ch,81627
dns-zonen.ch,81134
iec.ch,81106
glassdoor.ch,80972
trendhosting-net.ch,80527
datacomm.ch,80501
wohlbier.ch,80371
digitec.ch,80313
fhnw.ch,80262
tutti.ch,79855
nextron.ch,79221
20min-tv.ch,78866
torrentdownload.ch,78632
rhone.ch,78520
vd.ch,78205
firestorm.ch,77955
be.ch,77812
zhaw.ch,77686
autoscout24.ch,77372
begasoft.ch,77178
gbucket.ch,77082
ticketcorner.ch,76959
rsnweb.ch,76497
nexlink.ch,76234
serverdns.ch,75834
fooby.ch,75784
geberit.ch,75758
watson.ch,75627
ti-edu.ch,74361
upc.ch,74206
opsdns.ch,74195
hitparade.ch,73879
leunet.ch,73791
astro.ch,72752
comparis.ch,72296
square7.ch,72285
suedostschweiz.ch,72268
sceur.ch,72164
tcnet.ch,72127
manor.ch,72123
swisslos.ch,71990
salt.ch,71948
exoscale.ch,71789
ebu.ch,71728
arcade.ch,71025
ggaweb.ch,70834
letemps.ch,70592
evensi.ch,70397
danzz.ch,70060
worldcom.ch,69702
faelix.ch,69620
mtfcloud.ch,68910
hiho.ch,68198
senselan.ch,68147
imd.ch,68080
sysco.ch,67941
oriented.ch,67666
i-web.ch,67449
scalera.ch,67438
hslu.ch,67404
000.ch,67204
unog.ch,67015
raiffeisen.ch,66749
static-nzz.ch,66726
kfsb.ch,66704
agenceweb.ch,66341
adquality.ch,66191
ge.ch,65802
ne.ch,65308
lematin.ch,65238
bfh.ch,65071
swisslife.ch,64902
unine.ch,64794
anibis.ch,64787
tdg.ch,64710
swissirc.ch,64272
streamboatserver.ch,64190
srg-ssr.ch,64031
spreadshirt.ch,64008
eyeonx.ch,64003
serverbase.ch,63836
snowflakehosting.ch,63671
oetiker.ch,63290
momondo.ch,63126
ips.ch,63093
coopathome.ch,63058
glattnet.ch,62824
cleanmail.ch,62813
avectris.ch,62609
etat-ge.ch,62393
icinternet.ch,62383
neotrend.ch,62018
xprofiler.ch,61866
audatex.ch,61377
newasiantv.ch,61197
ip-plus.ch,61104
raq.ch,61055
nscluster.ch,60940
byteworks.ch,60646
tsinger.ch,60565
ricardostatic.ch,60505
galaxus.ch,60370
immoscout24.ch,60317
xelon.ch,60316
scibile.ch,59993
meteonews.ch,59588
inic.ch,59510
netoxygen.ch,59370
komodo.ch,59233
ganesh-hosting.ch,59148
netcetera.ch,59021
zoink.ch,58968
internetgalerie.ch,58855
centinated.ch,58709
hostmax.ch,58673
gia.ch,58271
adconsole.ch,58230
enidan.ch,58221
pimpernet.ch,58052
deckpoint.ch,57515
cybernetwork.ch,57483
netmind.ch,57386
usz.ch,57311
jonasschnelli.ch,57167
chuv.ch,57113
trit.ch,56952
net2000.ch,56727
variti.ch,56695
nnv.ch,56681
deep.ch,56671
zsz.ch,56604
fourmilab.ch,56536
cpstatic.ch,56484
fr.ch,56400
localsearch.ch,56396
scsstatic.ch,56163
usi.ch,56117
datenpark.ch,56088
24heures.ch,55932
isb-sib.ch,55923
bs.ch,55838
swisspay.ch,55797
zh.ch,55771
wef.ch,55759
hellofresh.ch,55611
onlime.ch,55610
ntd.ch,55598
flow.ch,55519
databaar.ch,55448
yop.ch,55434
ehl.ch,55340
ebmnet.ch,55328
psi.ch,55235
qos.ch,55158
swissonline.ch,55125
domaintraffic.ch,54977
register.ch,54648
supercard.ch,54616
tg.ch,54588
glei.ch,54567
ville-ge.ch,54553
ogekao.ch,54493
iso.ch,54419
lsne.ch,54355
pnow.ch,54302
oca.ch,54097
mgw.ch,53989
sixt.ch,53937
orcwebhosting.ch,53931
ahja.ch,53808
bazonline.ch,53801
radiosonline.ch,53773
webways.ch,53747
educanet2.ch,53730
slynet.ch,53702
dns24.ch,53598
alpinedc.ch,53569
smallte.ch,53422
jobs.ch,53362
adsugar.ch,53359
zhdk.ch,53340
nameserver.ch,53295
zkb.ch,53282
moneyhouse.ch,53213
hung.ch,52945
mailprofiler.ch,52761
swissquote.ch,52758
hotmail.ch,52736
luzernerzeitung.ch,52505
lafourchette.ch,52462
bluemail.ch,52406
your-web.ch,52262
web-agentur.ch,52230
prolitteris.ch,52119
solarcom.ch,52011
aladin21.ch,51954
internetone.ch,51952
ag.ch,51877
evard.ch,51652
xiag.ch,51648
ebookers.ch,51546
witweb.ch,51500
hsr.ch,51457
brack.ch,51434
hirslanden.ch,51341
viseca.ch,51240
masterhomepage.ch,51108
conrad.ch,51031
tio.ch,50994
amenic.ch,50944
curaden-hosting.ch,50811
toysrus.ch,50533
finanzen.ch,50498
sefanet.ch,50253
swisslog.ch,50225
mediamarkt.ch,50225
axa.ch,50132
meteoswiss-app.ch,50080
lombardodier.ch,50027
network-corner.ch,50026
rsi.ch,49901
schweizer-illustrierte.ch,49873
edreams.ch,49852
ymc.ch,49724
competec.ch,49678
kissasian.ch,49550
jeuxjeuxjeux.ch,49517
uploadable.ch,49498
trenka.ch,49405
dvbern.ch,49391
sg.ch,49376
bcv.ch,49366
cs2.ch,49287
spielyeti.ch,49215
az-cdn.ch,49185
toppreise.ch,49065
ztonline.ch,48862
azmedien.ch,48818
thelocal.ch,48761
emilfrey.ch,48738
microspot.ch,48683
syhost.ch,48673
boomte.ch,48576
intername.ch,48557
