domainname,nr_src
switch.ch,708806
comlaude.ch,631725
infomaniak.ch,547533
noris.ch,528434
google.ch,488097
bluewin.ch,460146
hostpoint.ch,420898
nine.ch,404856
honcode.ch,399484
cern.ch,357526
nic.ch,348219
tophost.ch,342694
hoststar.ch,299880
pinterest.ch,281474
sunrise.ch,279703
cyon.ch,276694
swisscom.ch,275250
zer0day.ch,270211
arenabg.ch,269540
protonmail.ch,263477
kreativmedia.ch,247234
admin.ch,239086
hcuge.ch,233497
switchplus.ch,230543
tripadvisor.ch,227089
agrinet.ch,225762
airbnb.ch,225594
vtx.ch,225466
ethz.ch,224205
ebay.ch,223830
wemfbox.ch,219079
porsche.ch,214492
itu.ch,211058
nzz.ch,206783
open.ch,203721
hosttech.ch,203342
fcom.ch,198386
webland.ch,184245
yelp.ch,182874
datasource.ch,177788
migros.ch,174418
blick.ch,171718
glipac.ch,168177
dimago.ch,163957
finarea.ch,162958
hostfactory.ch,162221
wservices.ch,160311
hispeed.ch,157072
exigo.ch,154998
epfl.ch,151166
netzone.ch,150909
20min.ch,149293
post.ch,148456
uzh.ch,147743
netplus.ch,144904
solnet.ch,144061
cyberlink.ch,141631
genotec.ch,138861
imp.ch,138181
interway.ch,137880
expedia.ch,136637
unige.ch,136310
srgssr.ch,134699
dfinet.ch,133043
blogspot.ch,132921
mhs.ch,131624
gmx.ch,130816
threema.ch,129518
tagesanzeiger.ch,128354
datazug.ch,127995
proinity.ch,127496
publicompserver.ch,127082
wn-dns.ch,126570
srf.ch,124331
innet.ch,121370
da-services.ch,120902
unibe.ch,120454
nubium.ch,119826
mscgva.ch,119629
tamedia.ch,119593
netstream.ch,118868
cnnmoney.ch,118500
iway.ch,117772
nts.ch,117497
unibas.ch,116961
posteo-dns.ch,115853
coop.ch,114999
newsnetz.ch,114893
swissinfo.ch,114831
adfinis-sygroup.ch,113301
indeed.ch,112513
swisslink.ch,111870
kayak.ch,111116
ringier.ch,110825
kissasian.ch,110395
ticketcorner.ch,109734
swissns.ch,109282
snowflakehosting.ch,109247
backslash.ch,109180
sbb.ch,107650
evok.ch,106960
webstyle.ch,106784
xvo.ch,105890
cryptowat.ch,105447
dns-net.ch,104904
search.ch,103749
hon.ch,103469
xmodels-live.ch,100943
admeira.ch,100636
unil.ch,98501
rts.ch,97623
datacomm.ch,97168
groupon.ch,96132
zalando.ch,95964
virtua.ch,95687
flashcable.ch,94026
5ms.ch,93815
host.ch,93527
tutti.ch,92758
netrics.ch,92258
ewdns.ch,91902
adquality.ch,91511
movie4u.ch,91065
adslplus.ch,90776
ricardo.ch,90710
citycable.ch,90710
virtualtec.ch,90564
shinternet.ch,90141
trendhosting-net.ch,90083
swisstxt.ch,90017
xmedia.ch,89819
metanet.ch,89782
hostorama.ch,89767
pcdog.ch,89236
ellb.ch,89022
psideo.ch,88790
moonb.ch,88667
nth.ch,88621
qlns.ch,88080
local.ch,87975
homegate.ch,87886
softronics.ch,87858
datapark.ch,87216
fastnet.ch,87107
ezimg.ch,87040
datacenter-migros.ch,86738
goeast.ch,86689
cablecom.ch,86478
abuse.ch,85940
unisg.ch,84345
nexlink.ch,84010
rhone.ch,83523
lematin.ch,83507
be.ch,83505
u-blox.ch,83482
letemps.ch,83347
solarcom.ch,83007
glassdoor.ch,82095
weblink.ch,82031
nextron.ch,82017
syhosting.ch,81319
unifr.ch,80815
wingo.ch,79904
iec.ch,79836
036.ch,79656
servertown.ch,79573
domrobot.ch,79503
vd.ch,79282
tsinger.ch,79202
tcnet.ch,78858
hosting-ch.ch,78302
sinkhole.ch,78093
ti-edu.ch,78068
dns-zonen.ch,77632
fhnw.ch,77255
tdg.ch,76887
momondo.ch,76533
suedostschweiz.ch,76051
wohlbier.ch,75808
jeuxjeuxjeux.ch,75605
gbucket.ch,75580
begasoft.ch,75385
rsnweb.ch,75366
000.ch,74828
worldcom.ch,74738
gotdns.ch,74652
geberit.ch,74415
20min-tv.ch,74396
ggaweb.ch,73653
24heures.ch,73274
leunet.ch,72834
i-web.ch,72597
square7.ch,72593
uci.ch,72147
firestorm.ch,72129
hitparade.ch,71893
jonasschnelli.ch,71752
zhaw.ch,71737
agenceweb.ch,71084
postfinance.ch,71019
fsit.ch,70803
digitecgalaxus.ch,70604
tio.ch,70331
autoscout24.ch,70182
comparis.ch,70059
astro.ch,69845
senselan.ch,69830
arcade.ch,69358
unog.ch,69328
sceur.ch,69322
fourmilab.ch,69193
imd.ch,68957
digitec.ch,68745
swisslife.ch,68624
meteonews.ch,67977
scsstatic.ch,67748
wef.ch,67711
ricardostatic.ch,67560
bernerzeitung.ch,67387
ne.ch,67112
datenpark.ch,67085
glattnet.ch,67001
spielyeti.ch,66968
web-agentur.ch,66518
ge.ch,66429
swisslos.ch,66375
watson.ch,66336
deep.ch,66245
cleanmail.ch,66131
scalera.ch,66074
mtfcloud.ch,65982
swissirc.ch,65826
neotrend.ch,65494
xelon.ch,65080
nnv.ch,65032
ebu.ch,64966
hslu.ch,64938
internetgalerie.ch,64686
scibile.ch,64666
unine.ch,64509
sysco.ch,64412
upc.ch,64402
bs.ch,64310
kfsb.ch,64305
ganesh-hosting.ch,64265
mail-ch.ch,64143
bfh.ch,63921
nameserver.ch,63911
zsz.ch,63902
databaar.ch,63890
oetiker.ch,63678
hiho.ch,63663
eyeonx.ch,63662
oriented.ch,63485
xprofiler.ch,63184
raq.ch,63175
flow.ch,63155
ips.ch,62993
torrentdownload.ch,62985
serverbase.ch,62917
komodo.ch,62840
danzz.ch,62832
anibis.ch,62744
lsne.ch,62618
avectris.ch,62068
usz.ch,61841
snd1.ch,61733
internetone.ch,61710
spimg.ch,61608
pubmt.ch,61536
etat-ge.ch,61502
raiffeisen.ch,61347
ipcc.ch,61172
messebasel.ch,61111
kbntx.ch,61090
immoscout24.ch,60821
vtxmail.ch,60809
bazonline.ch,60501
ahja.ch,60497
domaintraffic.ch,60266
freesurf.ch,60237
centinated.ch,60103
net4all.ch,60013
luzernerzeitung.ch,59991
fr.ch,59970
jobs.ch,59943
surveymonkey.ch,59460
salt.ch,59391
streamboatserver.ch,59356
derbund.ch,59244
trit.ch,59128
rsi.ch,59080
netoxygen.ch,58907
deckpoint.ch,58887
tcrn.ch,58877
serverdns.ch,58674
chuv.ch,58671
onlime.ch,58636
aladin21.ch,58625
xn--allestrungen-9ib.ch,58489
alpinedc.ch,58244
net2000.ch,58232
slynet.ch,57570
bluemail.ch,57465
moneyhouse.ch,57425
hostmax.ch,57244
ebmnet.ch,57198
isb-sib.ch,57119
nscluster.ch,57090
ehl.ch,56994
ebookers.ch,56826
finanzen.ch,56800
mailprofiler.ch,56788
zh.ch,56744
mgw.ch,56715
exoscale.ch,56581
aladin.ch,56273
oca.ch,56197
fuw.ch,56040
zhdk.ch,56026
coopathome.ch,56006
enidan.ch,55962
inic.ch,55920
college.ch,55786
audatex.ch,55717
network-corner.ch,55704
srg-ssr.ch,55693
zic-network.ch,55682
solidit.ch,55518
webways.ch,55289
byteworks.ch,55223
masterhomepage.ch,55185
hotmail.ch,54875
spreadshirt.ch,54865
ticinohosting.ch,54754
sg.ch,54677
usi.ch,54602
witweb.ch,54564
gia.ch,54452
tg.ch,54381
ctek.ch,54340
ntd.ch,54293
pnow.ch,54227
tagblatt.ch,54061
swissonline.ch,53740
ag.ch,53664
static-nzz.ch,53659
hellofresh.ch,53320
uploadable.ch,53166
ztonline.ch,53019
psi.ch,52893
alixon.ch,52799
jobup.ch,52704
exovoid.ch,52680
variti.ch,52542
inx.ch,52421
cpstatic.ch,52236
swisslog.ch,52110
evard.ch,52077
1ahosting.ch,51894
manor.ch,51841
friday-magazine.ch,51556
netmind.ch,51430
hung.ch,51374
cybernetwork.ch,51267
lafourchette.ch,51260
smallte.ch,51206
qos.ch,51104
hostsolutions.ch,51031
azmedien.ch,50709
adtracker.ch,50483
so.ch,50442
orangemail.ch,50346
swissquote.ch,50320
emilfrey.ch,50253
femina.ch,50093
brack.ch,50091
bilan.ch,50086
intername.ch,50021
zkb.ch,49999
conrad.ch,49916
gr.ch,49794
stadt-zuerich.ch,49762
getplaykids.ch,49678
icinternet.ch,49677
heig-vd.ch,49666
infofactory.ch,49637
hsr.ch,49536
galaxus.ch,49520
xiag.ch,49457
bluemouse.ch,49361
zoink.ch,49304
rolotec.ch,49301
pxlpartner.ch,49225
netcetera.ch,49196
glaro.ch,49057
help.ch,48989
ti.ch,48960
mpdkim2.ch,48928
netstyle.ch,48824
mironet.ch,48762
ville-ge.ch,48762
getback.ch,48670
webcreatif.ch,48646
lu.ch,48466
sixt.ch,48463
myhostpoint.ch,48346
register.ch,48285
pimpernet.ch,48191
bestview.ch,48171
insign.ch,48064
annabelle.ch,48061
nexanet.ch,48010
lombardodier.ch,47961
dreamstore.ch,47811
competec.ch,47782
educanet2.ch,47710
dasmagazin.ch,47702
livenet.ch,47661
stepping-stone.ch,47599
axa.ch,47585
schweizer-illustrierte.ch,47479
laredoute.ch,47414
graduateinstitute.ch,47367
edreams.ch,47271
handelszeitung.ch,47107
guests.ch,47087
liteweb.ch,47056
iso.ch,47031
immostreet.ch,46822
amenic.ch,46541
thelocal.ch,46513
wifisolution.ch,46489
dell.ch,46345
wsl.ch,46339
idiap.ch,46331
migrosmedien.ch,46224
tui.ch,46222
curaden-hosting.ch,45730
halma-dns.ch,45723
insel.ch,45617
tcs.ch,45520
immomigsa.ch,45497
syhost.ch,45456
cinergy.ch,45454
pctipp.ch,45407
prezenz.ch,45354
morningstar.ch,45301
englishforum.ch,45284
starticket.ch,45234
aargauerzeitung.ch,45182
webexpert.ch,45086
unity-web.ch,45050
cs2.ch,44874
distrelec.ch,44812
basler.ch,44805
ngit.ch,44775
cash.ch,44717
style-magazin.ch,44715
