domainname,nr_src
switch.ch,770873
comlaude.ch,636739
infomaniak.ch,536415
noris.ch,511903
bluewin.ch,468080
google.ch,468000
hostpoint.ch,405916
nine.ch,404507
sunrise.ch,395599
honcode.ch,375176
tophost.ch,364030
cern.ch,358775
nic.ch,346213
hoststar.ch,297598
zer0day.ch,294575
protonmail.ch,278111
cyon.ch,277393
nzz.ch,275305
arenabg.ch,270842
swisscom.ch,265203
pinterest.ch,254989
kreativmedia.ch,244379
hcuge.ch,234105
vtx.ch,227853
ethz.ch,225583
switchplus.ch,224951
admin.ch,224011
porsche.ch,219561
agrinet.ch,219298
wemfbox.ch,211633
itu.ch,209828
adslplus.ch,206051
webland.ch,201471
open.ch,200093
airbnb.ch,188449
tripadvisor.ch,185833
fcom.ch,180012
ebay.ch,176989
migros.ch,174589
solnet.ch,173508
yelp.ch,168615
wservices.ch,167943
blick.ch,165257
finarea.ch,164518
hosttech.ch,163368
hispeed.ch,162075
hostfactory.ch,160271
datasource.ch,160099
glipac.ch,159328
post.ch,154424
netzone.ch,154276
imp.ch,153773
epfl.ch,152703
genotec.ch,150524
dimago.ch,148671
netplus.ch,147664
exigo.ch,147143
cyberlink.ch,146392
20min.ch,146155
uzh.ch,143966
unige.ch,139529
interway.ch,139262
dfinet.ch,134570
gmx.ch,132867
netstream.ch,132828
wn-dns.ch,131446
mhs.ch,130818
datazug.ch,130674
threema.ch,130253
srgssr.ch,126499
blogspot.ch,126312
innet.ch,125667
publicompserver.ch,124924
cryptowat.ch,121670
mscgva.ch,121457
proinity.ch,118823
unibe.ch,118770
iway.ch,118706
nubium.ch,118050
unibas.ch,117107
nts.ch,116401
coop.ch,115337
ticketcorner.ch,114649
swissinfo.ch,114482
posteo-dns.ch,114474
tamedia.ch,114441
srf.ch,114274
expedia.ch,114221
swissns.ch,112571
kissasian.ch,111978
swisslink.ch,111405
datacomm.ch,110831
groupon.ch,110220
newsnetz.ch,109715
backslash.ch,109368
ringier.ch,109203
xvo.ch,108980
gotdns.ch,108631
xmodels-live.ch,107285
sbb.ch,106918
snowflakehosting.ch,106561
indeed.ch,105999
da-services.ch,104681
tagesanzeiger.ch,104148
hon.ch,103579
ellb.ch,103139
unil.ch,102710
webstyle.ch,102553
search.ch,102015
kayak.ch,101453
netrics.ch,100719
gettyimages.ch,100266
abuse.ch,98254
admeira.ch,97735
movie4u.ch,97626
evok.ch,97246
rts.ch,96113
xmedia.ch,94450
jonasschnelli.ch,94003
qlns.ch,93855
ewdns.ch,93280
ricardo.ch,93091
citycable.ch,92922
adfinis-sygroup.ch,92455
ezimg.ch,91884
dns-net.ch,91845
hostorama.ch,91748
metanet.ch,91738
fastnet.ch,91456
virtualtec.ch,91327
shinternet.ch,90302
nth.ch,90207
digicomp.ch,89730
datacenter-migros.ch,89448
ortcloud.ch,89294
tutti.ch,88975
host.ch,88865
pcdog.ch,88765
virtua.ch,88572
trendhosting-net.ch,88455
flashcable.ch,88393
zalando.ch,88193
swisslos.ch,87852
weblink.ch,87052
tcnet.ch,86751
fhnw.ch,86706
nexlink.ch,86438
5ms.ch,86281
local.ch,86087
datapark.ch,85670
goeast.ch,84982
adquality.ch,84867
unisg.ch,84722
begasoft.ch,84255
unifr.ch,84247
swisstxt.ch,84179
solarcom.ch,83798
be.ch,83684
rhone.ch,83619
nextron.ch,83293
letemps.ch,81908
psideo.ch,81442
tsinger.ch,81258
homegate.ch,80994
surveymonkey.ch,80677
domrobot.ch,80659
xelon.ch,80606
swisslife.ch,80362
u-blox.ch,79810
wingo.ch,79470
ti-edu.ch,79135
jeuxjeuxjeux.ch,79134
vd.ch,78959
syhosting.ch,78584
senselan.ch,78072
servertown.ch,78012
worldcom.ch,77994
postfinance.ch,77945
messebasel.ch,77700
tdg.ch,77364
rsnweb.ch,77284
suedostschweiz.ch,77098
glassdoor.ch,76983
000.ch,76802
hosting-ch.ch,76643
uci.ch,76574
zhaw.ch,75569
wohlbier.ch,75411
iec.ch,75278
036.ch,75071
lematin.ch,74930
lsne.ch,74856
softronics.ch,74840
geberit.ch,74633
unog.ch,74544
dns-zonen.ch,74168
kfsb.ch,73651
digitecgalaxus.ch,73482
hitparade.ch,73357
freesurf.ch,73252
fourmilab.ch,72647
leunet.ch,72277
eunet.ch,72245
astro.ch,72083
scsstatic.ch,71882
vtxmail.ch,71653
square7.ch,71376
ebu.ch,71186
sylon.ch,71184
link.ch,71000
swissirc.ch,70887
20min-tv.ch,70872
tio.ch,70317
meteonews.ch,70245
comparis.ch,70222
spielyeti.ch,70178
mail-ch.ch,70131
momondo.ch,70052
conrad.ch,69782
firestorm.ch,69766
unine.ch,69305
databaar.ch,69186
agenceweb.ch,69109
digitec.ch,69032
24heures.ch,68945
imd.ch,68739
sceur.ch,68585
autoscout24.ch,68572
arcade.ch,68515
bfh.ch,67937
gbucket.ch,67886
glattnet.ch,67334
anibis.ch,67188
web-agentur.ch,67101
deckpoint.ch,67083
i-web.ch,66906
hslu.ch,66759
mtfcloud.ch,66613
watson.ch,66576
ne.ch,66357
cleanmail.ch,66168
internetgalerie.ch,66166
scalera.ch,66013
neotrend.ch,65866
ricardostatic.ch,65599
ge.ch,65586
wef.ch,65374
bernerzeitung.ch,65264
torrentdownload.ch,65174
datenpark.ch,65093
nameserver.ch,64954
sysco.ch,64728
ips.ch,64724
deep.ch,64584
xprofiler.ch,64484
scibile.ch,64415
fr.ch,64343
ctek.ch,63814
oriented.ch,63491
trit.ch,63466
raq.ch,63317
aladin21.ch,63234
ebmnet.ch,63202
ganesh-hosting.ch,62807
etat-ge.ch,62797
oetiker.ch,62780
internetone.ch,62744
usz.ch,62680
avectris.ch,62566
bluemail.ch,62439
serverdns.ch,62262
moneyhouse.ch,62205
snd1.ch,61786
raiffeisen.ch,61641
net2000.ch,61494
bazonline.ch,61398
zsz.ch,61099
aladin.ch,60970
netoxygen.ch,60861
hiho.ch,60614
chuv.ch,60584
salt.ch,60264
tcrn.ch,60099
danzz.ch,60059
onlime.ch,60008
ipcc.ch,59971
nnv.ch,59961
eyeonx.ch,59871
centinated.ch,59737
sinkhole.ch,59632
ntd.ch,59395
komodo.ch,59304
swissonline.ch,59204
immoscout24.ch,59045
jobs.ch,58958
flow.ch,58948
ggaweb.ch,58657
hotmail.ch,58597
isb-sib.ch,58556
mgw.ch,58547
webways.ch,58515
xn--allestrungen-9ib.ch,58205
finanzen.ch,58144
streamboatserver.ch,58061
bs.ch,58026
domaintraffic.ch,58020
ehl.ch,57877
derbund.ch,57634
enidan.ch,57480
masterhomepage.ch,57455
zic-network.ch,57450
spreadshirt.ch,57405
1ahosting.ch,57264
ahja.ch,57255
net4all.ch,57135
manor.ch,56891
college.ch,56491
upc.ch,56461
serverbase.ch,56418
uploadable.ch,56382
witweb.ch,56324
toysrus.ch,56232
laredoute.ch,56225
pnow.ch,56083
rsi.ch,55881
mailprofiler.ch,55599
srg-ssr.ch,55220
localsearch.ch,55121
inic.ch,55096
jobup.ch,54979
hostmax.ch,54947
zh.ch,54943
galaxus.ch,54831
psi.ch,54792
oca.ch,54581
ztonline.ch,54485
gia.ch,54400
pubmt.ch,54216
educanet2.ch,54201
spimg.ch,54164
evard.ch,54070
netmind.ch,53990
fuw.ch,53916
zhdk.ch,53786
slynet.ch,53520
cpstatic.ch,53458
audatex.ch,53284
luzernerzeitung.ch,53223
laureate.ch,52948
brack.ch,52946
inx.ch,52931
exovoid.ch,52923
network-corner.ch,52857
static-nzz.ch,52661
hung.ch,52623
woody.ch,52534
bluemouse.ch,52501
swissquote.ch,52393
pimpernet.ch,52377
eds.ch,52264
sg.ch,52236
zkb.ch,52220
nexanet.ch,52184
nscluster.ch,52126
solidit.ch,52020
hsr.ch,51881
cybernetwork.ch,51879
ag.ch,51716
ebookers.ch,51698
exoscale.ch,51691
usi.ch,51639
bilan.ch,51361
azmedien.ch,51334
webcreatif.ch,51305
alixon.ch,51273
tg.ch,51257
coopathome.ch,51203
mpdkim2.ch,51122
smallte.ch,51042
zoink.ch,50935
qos.ch,50796
iso.ch,50670
so.ch,50390
insystem.ch,50343
myhostpoint.ch,50287
alpinedc.ch,50227
guests.ch,50200
netcetera.ch,50141
shell.ch,50114
intername.ch,49980
lafourchette.ch,49887
xiag.ch,49748
heig-vd.ch,49688
vsnet.ch,49537
livenet.ch,49279
ticinohosting.ch,49210
lombardodier.ch,49055
insign.ch,49051
friday-magazine.ch,48896
stepping-stone.ch,48886
infofactory.ch,48851
pearl.ch,48788
stnet.ch,48608
icinternet.ch,48438
bestview.ch,48369
mironet.ch,48329
toppreise.ch,48252
cablecom.ch,48232
mediamarkt.ch,48112
dreamstore.ch,48082
practeo.ch,48022
annabelle.ch,47927
graduateinstitute.ch,47784
idiap.ch,47775
dplanet.ch,47757
rolotec.ch,47717
hostsolutions.ch,47682
tagblatt.ch,47608
prezenz.ch,47602
emilfrey.ch,47544
femina.ch,47514
siw.ch,47461
competec.ch,47314
stadt-zuerich.ch,47288
kbntx.ch,47226
getplaykids.ch,47193
lyoness.ch,47176
immomigsa.ch,47153
netstyle.ch,47097
pxlpartner.ch,47028
lu.ch,47027
getback.ch,46990
swisslog.ch,46954
ti.ch,46918
axa.ch,46911
ville-ge.ch,46890
register.ch,46711
mnbsserver.ch,46708
dasmagazin.ch,46636
yop.ch,46617
basler.ch,46552
orange.ch,46375
movetec-server.ch,46362
thelocal.ch,46328
insel.ch,46314
viseca.ch,46232
ziknet.ch,46110
kickass2.ch,45956
dropnet.ch,45741
coca-cola.ch,45735
dns24.ch,45723
stzh.ch,45710
trenka.ch,45677
pctipp.ch,45554
migrosmedien.ch,45479
hsbc.ch,45467
glaro.ch,45465
cembra.ch,45334
gr.ch,45326
penta.ch,45316
wsl.ch,45242
tissot.ch,45234
netspan.ch,45061
starticket.ch,45049
cs2.ch,44995
he-arc.ch,44864
amenic.ch,44806
internezzohosting.ch,44778
helvetia.ch,44763
finews.ch,44753
help.ch,44747
tcs.ch,44666
meteocentrale.ch,44625
hostedsolution.ch,44617
frey-net.ch,44582
exlibris.ch,44582
schweizer-illustrierte.ch,44540
hefr.ch,44537
keeptraffic.ch,44449
byteworks.ch,44401
syhost.ch,44350
creanet.ch,44303
deindeal.ch,44241
feelfree.ch,44223
liteweb.ch,44205
interdiscount.ch,44101
naefmarco.ch,44092
curaden-hosting.ch,44078
morningstar.ch,44035
apgsga.ch,43814
hirslanden.ch,43757
emp-eaw.ch,43746
bettybossi.ch,43744
cash.ch,43726
yetnet.ch,43716
unity-web.ch,43706
hesge.ch,43677
globonet.ch,43542
tele2.ch,43475
soft-plus.ch,43470
zooplus.ch,43417
dell.ch,43378
swiss-support.ch,43351
webkeeper.ch,43343
anycastdns.ch,43325
tremegisto.ch,43314
scnr.ch,43208
webne.ch,43124
ecoweb.ch,43121
blickamabend.ch,43094
vritec.ch,43072
aargauerzeitung.ch,43064
fih.ch,43028
distrelec.ch,43025
energy.ch,42955
adtracker.ch,42904
oris.ch,42861
adspot.ch,42827
tui.ch,42785
escapenet.ch,42761
style-magazin.ch,42713
entex.ch,42702
handelszeitung.ch,42697
galactus.ch,42546
fasthosting.ch,42449
ngit.ch,42307
intergga.ch,42281
switchplus-mail.ch,42269
citrin.ch,42232
qoqa.ch,42203
englishforum.ch,42138
webkoenig.ch,42058
bboxbbs.ch,41959
4host.ch,41858
radioswissclassic.ch,41846
kuoni.ch,41845
your-web.ch,41826
boomte.ch,41752
webexpert.ch,41729
adot.ch,41685
orcwebhosting.ch,41643
ubp.ch,41566
suva.ch,41528
ggs.ch,41333
lausanne.ch,41333
