domainname,nr_src
switch.ch,809952
comlaude.ch,611187
noris.ch,521452
google.ch,511864
infomaniak.ch,508715
finarea.ch,507152
honcode.ch,403077
hostpoint.ch,398944
cern.ch,398484
bluewin.ch,386353
nine.ch,375784
nic.ch,357612
datasource.ch,339921
tophost.ch,329470
protonmail.ch,316511
cyon.ch,283858
sunrise.ch,281130
hoststar.ch,271761
nzz.ch,269124
pinterest.ch,265865
hosttech.ch,259048
zer0day.ch,255674
arenabg.ch,252713
ebay.ch,246397
admin.ch,231983
wemfbox.ch,231566
airbnb.ch,227908
kreativmedia.ch,225777
switchplus.ch,220180
hcuge.ch,220064
ethz.ch,218920
vtx.ch,218502
itu.ch,215993
tripadvisor.ch,211506
swisscom.ch,209499
porsche.ch,208922
agrinet.ch,202021
open.ch,195494
glipac.ch,187259
migros.ch,185981
hispeed.ch,185605
blick.ch,180087
webland.ch,179846
yelp.ch,176521
fcom.ch,161061
wservices.ch,157650
post.ch,155350
exigo.ch,153566
20min.ch,151639
epfl.ch,150827
srgssr.ch,150252
dimago.ch,150044
expedia.ch,144804
netzone.ch,144536
cyberlink.ch,142217
threema.ch,142165
uzh.ch,140617
hostfactory.ch,139073
tagesanzeiger.ch,138196
imp.ch,135444
netplus.ch,135424
genotec.ch,133622
unige.ch,133387
solnet.ch,132767
swissns.ch,132008
interway.ch,130710
da-services.ch,130296
dfinet.ch,129323
srf.ch,128697
wn-dns.ch,127738
newsnetz.ch,127170
mscgva.ch,126284
mhs.ch,125754
gmx.ch,125643
publicompserver.ch,124756
adfinis-sygroup.ch,124089
tamedia.ch,123994
posteo-dns.ch,121883
search.ch,121758
swissinfo.ch,120992
nubium.ch,120428
coop.ch,119821
unibe.ch,119506
xmodels-live.ch,118742
ringier.ch,118435
sbb.ch,118226
kissasian.ch,117267
nts.ch,117102
abuse.ch,116646
iway.ch,116085
innet.ch,115294
unibas.ch,114904
datazug.ch,114851
admeira.ch,113253
indeed.ch,112835
virtua.ch,110315
netstream.ch,108049
blogspot.ch,107420
swisstxt.ch,106973
xvo.ch,105734
kayak.ch,105678
webstyle.ch,103084
rts.ch,102657
swisslink.ch,102093
zalando.ch,100648
gotdns.ch,98253
homegate.ch,97781
local.ch,97429
groupon.ch,97294
metanet.ch,96712
qlns.ch,96431
unil.ch,96379
hon.ch,95679
ricardo.ch,94960
evok.ch,94663
xmedia.ch,94476
u-blox.ch,94187
ewdns.ch,93961
cryptowat.ch,93758
backslash.ch,93229
host.ch,93011
swisslos.ch,92305
tutti.ch,91749
netrics.ch,91282
datacenter-migros.ch,91086
ezimg.ch,90620
trendhosting-net.ch,90607
citycable.ch,90493
nth.ch,90088
fastnet.ch,89789
flashcable.ch,89387
shinternet.ch,88720
pcdog.ch,88308
goeast.ch,87623
syhosting.ch,87332
sinkhole.ch,85362
virtualtec.ch,84828
hostorama.ch,84757
unifr.ch,83096
datapark.ch,83054
iec.ch,82824
nextron.ch,82685
letemps.ch,82611
5ms.ch,82588
ellb.ch,82347
postfinance.ch,82335
unisg.ch,82071
uci.ch,81547
datacomm.ch,81437
adquality.ch,81346
wingo.ch,81133
spreitzer.ch,81112
watson.ch,80916
tsinger.ch,80826
digitecgalaxus.ch,80820
agenceweb.ch,80423
begasoft.ch,80279
20min-tv.ch,79878
fooby.ch,79747
glassdoor.ch,79737
hitparade.ch,79736
weblink.ch,79564
be.ch,79373
digitec.ch,79173
autoscout24.ch,79067
dns-zonen.ch,78911
fhnw.ch,78849
ti-edu.ch,78699
lematin.ch,78686
sceur.ch,78408
gbucket.ch,78226
snowflakehosting.ch,78101
geberit.ch,77510
comparis.ch,77334
leunet.ch,76973
036.ch,76829
suedostschweiz.ch,76781
rhone.ch,76638
nexlink.ch,76611
servertown.ch,76610
000.ch,76494
hosting-ch.ch,76064
square7.ch,75240
tio.ch,75149
tcnet.ch,75123
vd.ch,74906
zhaw.ch,73737
firestorm.ch,73688
astro.ch,73272
i-web.ch,72915
hiho.ch,72621
cablecom.ch,71985
tdg.ch,71974
rsnweb.ch,71701
wohlbier.ch,71657
danzz.ch,71528
ge.ch,71219
opsdns.ch,71209
arcade.ch,71178
swisslife.ch,70952
salt.ch,70702
cnnmoney.ch,70296
24heures.ch,69560
streamboatserver.ch,69381
ne.ch,69250
ticketcorner.ch,68912
wef.ch,68447
senselan.ch,68089
solarcom.ch,68082
worldcom.ch,67937
adslplus.ch,67881
static-nzz.ch,67837
winklercom.ch,67614
ipcc.ch,67578
movie4u.ch,67056
anibis.ch,66956
torrentdownload.ch,66702
mtfcloud.ch,66673
galaxus.ch,66181
imd.ch,66094
unine.ch,65803
icinternet.ch,65392
raiffeisen.ch,65326
bfh.ch,65131
flow.ch,65088
meteonews.ch,65087
eyeonx.ch,64941
coopathome.ch,64722
sysco.ch,64631
adconsole.ch,64621
datenpark.ch,64620
xprofiler.ch,64602
ricardostatic.ch,64495
unog.ch,64352
hellofresh.ch,63948
oriented.ch,63800
pubmt.ch,63761
softronics.ch,63751
raq.ch,63734
avectris.ch,63733
xelon.ch,63697
rsi.ch,63357
ebu.ch,63295
hslu.ch,63218
oetiker.ch,63119
scalera.ch,63044
exoscale.ch,62910
fourmilab.ch,62722
zsz.ch,62703
bitcoinsuisse.ch,62693
jeuxjeuxjeux.ch,62579
immoscout24.ch,62419
etat-ge.ch,62395
cleanmail.ch,62373
jobs.ch,62269
kfsb.ch,62133
xn--allestrungen-9ib.ch,62046
upc.ch,61675
internetgalerie.ch,61049
neotrend.ch,61011
inic.ch,60899
oca.ch,60822
faelix.ch,60718
ebookers.ch,60584
scibile.ch,60542
deep.ch,60400
momondo.ch,60198
nameserver.ch,60111
bs.ch,60066
centinated.ch,59975
aladin21.ch,59637
onlime.ch,59599
swisspay.ch,59392
spreadshirt.ch,59293
serverbase.ch,59240
bernerzeitung.ch,59211
scsstatic.ch,59005
jonasschnelli.ch,58895
snd1.ch,58724
glattnet.ch,58677
mail-ch.ch,58675
bazonline.ch,58578
srg-ssr.ch,58251
nnv.ch,58228
ganesh-hosting.ch,58165
derbund.ch,57961
luzernerzeitung.ch,57922
ips.ch,57817
tg.ch,57512
hostmax.ch,57299
friday-magazine.ch,57260
mailprofiler.ch,57116
moneyhouse.ch,57010
usi.ch,56924
usz.ch,56888
fuw.ch,56822
netoxygen.ch,56752
chuv.ch,56671
lsne.ch,56669
ntd.ch,56642
proinity.ch,56600
enidan.ch,56474
aladin.ch,56442
ehl.ch,56234
ebmnet.ch,56026
netcetera.ch,56020
nscluster.ch,55811
audatex.ch,55754
getback.ch,55706
cpstatic.ch,55600
netmind.ch,55552
ahja.ch,55437
fr.ch,55393
tcrn.ch,55346
college.ch,55310
femina.ch,55233
byteworks.ch,55224
hung.ch,55224
webways.ch,55223
ztonline.ch,55212
zh.ch,55144
spielyeti.ch,55089
bilan.ch,54868
iso.ch,54853
