domainname,nr_src
switch.ch,851033
finarea.ch,611716
comlaude.ch,591647
noris.ch,513762
infomaniak.ch,504595
google.ch,490379
honcode.ch,416294
cern.ch,407121
hostpoint.ch,405114
bluewin.ch,399808
nic.ch,387410
nine.ch,378593
tophost.ch,336556
protonmail.ch,324631
pinterest.ch,304102
cyon.ch,286212
sunrise.ch,274704
hoststar.ch,271536
zer0day.ch,260270
nzz.ch,259473
arenabg.ch,256547
hosttech.ch,255314
ebay.ch,238451
airbnb.ch,236328
swisscom.ch,231960
kreativmedia.ch,230670
admin.ch,230572
hcuge.ch,230172
wemfbox.ch,227420
vtx.ch,220251
ethz.ch,219977
switchplus.ch,219036
agrinet.ch,218974
itu.ch,218382
tripadvisor.ch,217237
yelp.ch,212175
porsche.ch,211006
open.ch,200579
blick.ch,185201
migros.ch,180974
webland.ch,174565
glipac.ch,169663
cyberlink.ch,167586
srgssr.ch,166617
fcom.ch,158858
post.ch,154326
netzone.ch,154324
netplus.ch,153602
epfl.ch,152912
dimago.ch,152557
exigo.ch,152258
wservices.ch,151561
expedia.ch,151068
uzh.ch,148028
datasource.ch,147965
20min.ch,147806
hostfactory.ch,147307
hispeed.ch,146970
threema.ch,143718
imp.ch,136506
adfinis-sygroup.ch,133869
mscgva.ch,133073
wn-dns.ch,131434
unige.ch,131211
dfinet.ch,131089
genotec.ch,130128
publicompserver.ch,129989
mhs.ch,129499
da-services.ch,127766
gmx.ch,127434
srf.ch,126127
newsnetz.ch,125335
posteo-dns.ch,124667
nubium.ch,124529
solnet.ch,123167
interway.ch,122580
tamedia.ch,121495
unibe.ch,121232
nts.ch,121182
virtua.ch,120941
coop.ch,120418
swissns.ch,120354
datazug.ch,119792
ringier.ch,119505
abuse.ch,119139
indeed.ch,118241
sbb.ch,118133
swissinfo.ch,117627
iway.ch,117472
unibas.ch,115928
innet.ch,115602
admeira.ch,114840
e-fon.ch,114584
netstream.ch,111831
tagesanzeiger.ch,108688
xmodels-live.ch,107820
zalando.ch,106347
gotdns.ch,106292
search.ch,105801
kayak.ch,105605
blogspot.ch,105126
xvo.ch,105000
groupon.ch,103707
webstyle.ch,103461
swisslink.ch,102763
local.ch,101145
swisstxt.ch,98406
hon.ch,98200
rts.ch,98176
syhosting.ch,97650
flashcable.ch,97495
unil.ch,97297
spreitzer.ch,95493
ezimg.ch,95204
homegate.ch,94796
host.ch,94086
evok.ch,93686
xmedia.ch,92753
metanet.ch,92305
netrics.ch,91471
trendhosting-net.ch,91330
goeast.ch,90672
ewdns.ch,90245
qlns.ch,90117
cryptowat.ch,89505
datacenter-migros.ch,89390
pcdog.ch,89095
backslash.ch,88836
shinternet.ch,88540
citycable.ch,88397
hostorama.ch,88281
datapark.ch,87345
nth.ch,87308
ricardo.ch,86700
036.ch,86458
u-blox.ch,86024
fastnet.ch,85901
virtualtec.ch,85901
tsinger.ch,85760
tutti.ch,85512
glassdoor.ch,85497
sinkhole.ch,85102
wingo.ch,84994
dsl-net.ch,84325
swisslos.ch,84291
fhnw.ch,83562
iec.ch,83313
agenceweb.ch,83181
weblink.ch,83150
unifr.ch,82944
5ms.ch,82510
be.ch,82407
digitecgalaxus.ch,82315
datacomm.ch,81908
000.ch,81879
nextron.ch,81535
watson.ch,81485
letemps.ch,81404
unisg.ch,81093
dns-zonen.ch,81088
ellb.ch,80742
hosting-ch.ch,80416
postfinance.ch,80103
hitparade.ch,79446
square7.ch,79359
gbucket.ch,79226
rhone.ch,79211
leunet.ch,79027
adquality.ch,78704
autoscout24.ch,78471
begasoft.ch,78355
20min-tv.ch,78255
servertown.ch,78065
fooby.ch,77922
uci.ch,77883
snowflakehosting.ch,77786
geberit.ch,77660
comparis.ch,77551
digitec.ch,77118
cablecom.ch,77106
tcnet.ch,76994
suedostschweiz.ch,76932
sceur.ch,76747
nexlink.ch,76681
vd.ch,76671
rsnweb.ch,76082
wohlbier.ch,75158
i-web.ch,74544
firestorm.ch,73841
getback.ch,73026
hiho.ch,72977
zhaw.ch,72897
astro.ch,72737
aladin21.ch,72706
senselan.ch,72222
danzz.ch,71836
ti-edu.ch,71789
torrentdownload.ch,71496
xn--allestrungen-9ib.ch,71219
ge.ch,70997
ticketcorner.ch,70799
wef.ch,70688
lematin.ch,70544
flow.ch,69901
salt.ch,69746
kissasian.ch,69699
worldcom.ch,69363
static-nzz.ch,69262
aladin.ch,69060
arcade.ch,69019
ipcc.ch,68828
movie4u.ch,68586
meteonews.ch,68549
newasiantv.ch,68547
streamboatserver.ch,68128
swisslife.ch,67915
mtfcloud.ch,67428
ne.ch,67033
oriented.ch,66804
tdg.ch,66717
anibis.ch,66202
softronics.ch,66082
hefr.ch,66064
datenpark.ch,65982
exoscale.ch,65972
raiffeisen.ch,65954
jeuxjeuxjeux.ch,65909
icinternet.ch,65834
imd.ch,65711
ganesh-hosting.ch,65608
tio.ch,65314
bfh.ch,65249
adconsole.ch,65195
xelon.ch,65120
unog.ch,65040
