domainname,nr_src
switch.ch,792958
comlaude.ch,616416
infomaniak.ch,552760
google.ch,529846
noris.ch,529012
finarea.ch,509463
bluewin.ch,446086
hostpoint.ch,409424
honcode.ch,403767
cern.ch,398087
nine.ch,395521
nic.ch,366084
tophost.ch,332894
pinterest.ch,311406
protonmail.ch,308851
sunrise.ch,297799
hoststar.ch,297362
cyon.ch,286929
nzz.ch,279836
swisscom.ch,277549
hosttech.ch,275547
kreativmedia.ch,267667
arenabg.ch,255798
zer0day.ch,248188
switchplus.ch,247562
ebay.ch,244563
admin.ch,244234
airbnb.ch,243116
wemfbox.ch,235491
vtx.ch,231977
ethz.ch,231633
hcuge.ch,227583
tripadvisor.ch,224248
porsche.ch,213941
agrinet.ch,211693
itu.ch,204518
yelp.ch,200523
open.ch,190993
blick.ch,185960
migros.ch,184478
webland.ch,183411
dfinet.ch,176398
glipac.ch,174493
wservices.ch,171976
fcom.ch,168804
epfl.ch,156534
exigo.ch,156167
20min.ch,155202
post.ch,153340
hispeed.ch,152764
innet.ch,152217
dimago.ch,149958
expedia.ch,148975
cyberlink.ch,148859
netzone.ch,147246
threema.ch,144559
datasource.ch,143826
uzh.ch,143266
srgssr.ch,141730
hostfactory.ch,141549
unige.ch,139891
imp.ch,137582
interway.ch,136779
netplus.ch,136322
genotec.ch,132638
srf.ch,131654
sbb.ch,130635
swissns.ch,129547
mhs.ch,128677
wn-dns.ch,128264
solnet.ch,127310
cnnmoney.ch,127200
gmx.ch,126322
da-services.ch,124859
newsnetz.ch,123309
nts.ch,123100
publicompserver.ch,123070
indeed.ch,122567
tamedia.ch,122180
unibe.ch,121815
posteo-dns.ch,121453
mscgva.ch,121263
datazug.ch,120091
swissinfo.ch,119533
nubium.ch,119347
adfinis-sygroup.ch,118559
search.ch,118514
iway.ch,118219
ringier.ch,117703
unibas.ch,115655
coop.ch,115306
abuse.ch,113501
blogspot.ch,112143
kayak.ch,111581
netstream.ch,110871
tagesanzeiger.ch,110804
admeira.ch,110511
kissasian.ch,109727
virtua.ch,108386
xvo.ch,107311
swisslink.ch,106974
webstyle.ch,106699
xmodels-live.ch,105854
swisstxt.ch,105203
zalando.ch,103068
unil.ch,98540
evok.ch,98426
rts.ch,98357
groupon.ch,98004
qlns.ch,96150
hon.ch,95981
backslash.ch,95915
host.ch,95716
ticketcorner.ch,95481
local.ch,94861
swisslos.ch,94445
metanet.ch,94384
u-blox.ch,94324
tutti.ch,94226
trendhosting-net.ch,94176
ewdns.ch,93927
xmedia.ch,93503
homegate.ch,93286
netrics.ch,93033
goeast.ch,92767
ezimg.ch,92644
citycable.ch,92360
nth.ch,92356
cryptowat.ch,92280
ricardo.ch,92113
flashcable.ch,92030
unisg.ch,91645
virtualtec.ch,91390
fastnet.ch,90767
adquality.ch,90379
shinternet.ch,90302
pcdog.ch,90216
wingo.ch,89639
datacenter-migros.ch,89539
proinity.ch,89464
hostorama.ch,87656
tsinger.ch,87253
syhosting.ch,87090
sinkhole.ch,86526
datacomm.ch,86308
datapark.ch,84906
5ms.ch,84451
weblink.ch,84392
letemps.ch,84353
watson.ch,84100
iec.ch,83687
unifr.ch,83245
geberit.ch,82932
nexlink.ch,82780
000.ch,82443
fhnw.ch,82424
postfinance.ch,82226
dns-zonen.ch,81919
nextron.ch,81845
glassdoor.ch,81556
suedostschweiz.ch,81550
ellb.ch,80864
agenceweb.ch,80041
winklercom.ch,79770
snowflakehosting.ch,79754
begasoft.ch,79406
20min-tv.ch,79381
036.ch,78815
leunet.ch,78799
rhone.ch,78716
gotdns.ch,78196
tcnet.ch,78159
spreitzer.ch,77982
hitparade.ch,77671
be.ch,77577
sceur.ch,77307
servertown.ch,77186
uci.ch,77165
ti-edu.ch,77121
vd.ch,77014
digitec.ch,76906
lematin.ch,76883
autoscout24.ch,76728
digitecgalaxus.ch,76342
hosting-ch.ch,76144
astro.ch,75626
fooby.ch,75339
i-web.ch,75174
comparis.ch,74450
zhaw.ch,74313
jeuxjeuxjeux.ch,74176
tio.ch,73929
gbucket.ch,73906
imd.ch,73402
opsdns.ch,73112
square7.ch,73081
firestorm.ch,72629
arcade.ch,72410
adslplus.ch,72340
rsnweb.ch,71881
hiho.ch,71876
tdg.ch,71813
wohlbier.ch,71466
torrentdownload.ch,70761
24heures.ch,70739
danzz.ch,70707
bitcoinsuisse.ch,70477
senselan.ch,70159
worldcom.ch,69633
mtfcloud.ch,69511
ge.ch,68967
unog.ch,68702
ipcc.ch,68392
upc.ch,67658
streamboatserver.ch,67615
movie4u.ch,67513
salt.ch,67475
swisslife.ch,67418
datenpark.ch,67325
static-nzz.ch,67325
hslu.ch,67126
fourmilab.ch,66902
icinternet.ch,66440
bfh.ch,66419
ne.ch,66357
softronics.ch,66287
xelon.ch,66167
flow.ch,66057
oriented.ch,65971
sysco.ch,65938
internetgalerie.ch,65903
rsi.ch,65801
meteonews.ch,65696
scalera.ch,65388
spielyeti.ch,65239
avectris.ch,65234
anibis.ch,65164
raq.ch,65019
raiffeisen.ch,65013
momondo.ch,64602
wef.ch,64513
unine.ch,64437
zic-network.ch,64427
aladin21.ch,64278
eyeonx.ch,64214
eu-hoster.ch,63869
xprofiler.ch,63799
oetiker.ch,63523
ricardostatic.ch,63430
ebmnet.ch,63424
ebu.ch,63276
neotrend.ch,63249
lsne.ch,63142
xn--allestrungen-9ib.ch,62987
coopathome.ch,62976
hellofresh.ch,62941
snd1.ch,62912
scibile.ch,62870
cleanmail.ch,62554
jobs.ch,62340
nameserver.ch,62168
onlime.ch,62152
spreadshirt.ch,62113
zsz.ch,62040
serverbase.ch,62030
ehl.ch,61937
kfsb.ch,61870
deep.ch,61729
centinated.ch,61704
immoscout24.ch,61561
nscluster.ch,61363
glattnet.ch,61344
adconsole.ch,61244
etat-ge.ch,61118
ganesh-hosting.ch,60973
aladin.ch,60769
bernerzeitung.ch,60647
domaintraffic.ch,60379
tcrn.ch,60360
mail-ch.ch,60356
exoscale.ch,60318
ips.ch,60240
lafourchette.ch,60080
bs.ch,59486
bazonline.ch,59465
faelix.ch,59441
nnv.ch,59375
solarcom.ch,59266
derbund.ch,59082
ebookers.ch,59066
luzernerzeitung.ch,58911
scsstatic.ch,58804
mailprofiler.ch,58707
netoxygen.ch,58669
usz.ch,58534
oca.ch,58517
zh.ch,58415
ntd.ch,58380
chuv.ch,58067
geschichtedergegenwart.ch,58057
hostmax.ch,57924
fuw.ch,57862
deplanet.ch,57696
